Time,F0,F1,F2,,,,,,,,,,,
4.59,575,519,510,,,,,,,,,,,
4.62,576,522,510,,,,,,,,,,,
4.65,576,525,512,,,,,,,,,,,
4.68,578,530,513,,,,,,,,,,,
4.72,579,534,514,,,,,,,,,,,
4.75,581,525,516,,,,,,,,,,,
4.78,584,510,520,,,,,,,,,,,
4.81,588,524,527,,,,,,,,,,,
4.84,596,519,531,,,,,,,,,,,
4.87,555,515,516,,,,,,,,,,,
4.9,584,513,519,,,,,,,,,,,
4.93,578,512,512,,,,,,,,,,,
4.97,575,511,510,,,,,,,,,,,
5,573,512,509,,,,,,,,,,,
5.03,574,514,509,,,,,,,,,,,
5.06,575,518,510,,,,,,,,,,,
5.09,577,528,513,,,,,,,,,,,
5.12,581,498,520,,,,,,,,,,,
5.15,592,518,533,,,,,,,,,,,
5.18,588,513,521,,,,,,,,,,,
5.22,578,511,512,,,,,,,,,,,
5.25,574,511,509,,,,,,,,,,,
5.28,574,513,509,,,,,,,,,,,
5.31,575,517,511,,,,,,,,,,,
5.34,577,529,514,,,,,,,,,,,
5.37,583,514,524,,,,,,,,,,,
5.4,588,515,490,,,,,,,,,,,
5.43,581,512,514,,,,,,,,,,,
5.46,575,511,510,,,,,,,,,,,
5.5,574,514,510,,,,,,,,,,,
5.53,575,520,512,,,,,,,,,,,
5.56,579,535,517,,,,,,,,,,,
5.59,587,525,531,,,,,,,,,,,
5.62,558,514,525,,,,,,,,,,,
5.65,579,512,513,,,,,,,,,,,
5.68,575,512,510,,,,,,,,,,,
5.71,574,515,510,,,,,,,,,,,
5.75,576,521,513,,,,,,,,,,,
5.78,579,535,518,,,,,,,,,,,
5.81,587,526,531,,,,,,,,,,,
5.84,566,515,528,,,,,,,,,,,
5.87,581,513,515,,,,,,,,,,,
5.9,576,513,511,,,,,,,,,,,
5.93,575,514,511,,,,,,,,,,,
5.96,575,518,511,,,,,,,,,,,
5.99,577,525,514,,,,,,,,,,,
6.03,581,534,519,,,,,,,,,,,
6.06,589,525,532,,,,,,,,,,,
6.09,561,516,525,,,,,,,,,,,
6.12,581,513,515,,,,,,,,,,,
6.15,576,513,512,,,,,,,,,,,
6.18,575,516,512,,,,,,,,,,,
6.21,576,523,514,,,,,,,,,,,
6.24,581,535,522,,,,,,,,,,,
6.28,594,520,535,,,,,,,,,,,
6.31,586,514,519,,,,,,,,,,,
6.34,577,513,513,,,,,,,,,,,
6.37,575,515,512,,,,,,,,,,,
6.4,576,521,514,,,,,,,,,,,
6.43,580,539,521,,,,,,,,,,,
6.46,592,522,535,,,,,,,,,,,
6.49,587,514,520,,,,,,,,,,,
6.52,577,513,513,,,,,,,,,,,
6.56,575,515,512,,,,,,,,,,,
6.59,576,521,514,,,,,,,,,,,
6.62,580,537,520,,,,,,,,,,,
6.65,590,523,534,,,,,,,,,,,
6.68,588,515,522,,,,,,,,,,,
6.71,577,513,513,,,,,,,,,,,
6.74,575,514,512,,,,,,,,,,,
6.77,575,519,514,,,,,,,,,,,
6.8,578,533,518,,,,,,,,,,,
6.84,587,529,532,,,,,,,,,,,
6.87,557,516,528,,,,,,,,,,,
6.9,580,514,515,,,,,,,,,,,
6.93,576,514,513,,,,,,,,,,,
6.96,575,517,513,,,,,,,,,,,
6.99,577,526,516,,,,,,,,,,,
7.02,582,526,524,,,,,,,,,,,
7.05,594,521,538,,,,,,,,,,,
7.09,588,515,522,,,,,,,,,,,
7.12,578,513,515,,,,,,,,,,,
7.15,575,514,513,,,,,,,,,,,
7.18,575,517,513,,,,,,,,,,,
7.21,576,522,515,,,,,,,,,,,
7.24,579,534,519,,,,,,,,,,,
7.27,585,509,527,,,,,,,,,,,
7.3,598,520,522,,,,,,,,,,,
7.34,588,515,523,,,,,,,,,,,
7.37,578,514,516,,,,,,,,,,,
7.4,576,515,514,,,,,,,,,,,
7.43,575,517,513,,,,,,,,,,,
7.46,576,522,515,,,,,,,,,,,
7.49,580,535,520,,,,,,,,,,,
7.52,587,530,533,,,,,,,,,,,
7.55,558,517,529,,,,,,,,,,,
7.59,580,514,516,,,,,,,,,,,
7.62,576,515,514,,,,,,,,,,,
7.65,576,519,514,,,,,,,,,,,
7.68,578,527,518,,,,,,,,,,,
7.71,583,501,527,,,,,,,,,,,
7.74,597,519,499,,,,,,,,,,,
7.77,584,515,519,,,,,,,,,,,
7.8,577,515,514,,,,,,,,,,,
7.84,575,517,514,,,,,,,,,,,
7.87,577,525,518,,,,,,,,,,,
7.9,582,531,525,,,,,,,,,,,
7.93,596,520,526,,,,,,,,,,,
7.96,584,515,520,,,,,,,,,,,
7.99,576,515,515,,,,,,,,,,,
8.02,575,517,514,,,,,,,,,,,
8.05,577,524,517,,,,,,,,,,,
8.09,582,540,524,,,,,,,,,,,
8.12,594,522,531,,,,,,,,,,,
8.15,587,516,522,,,,,,,,,,,
8.18,577,515,515,,,,,,,,,,,
8.21,576,516,514,,,,,,,,,,,
8.24,576,520,516,,,,,,,,,,,
8.27,579,532,519,,,,,,,,,,,
8.3,585,519,529,,,,,,,,,,,
8.33,599,520,502,,,,,,,,,,,
8.37,585,515,521,,,,,,,,,,,
8.4,578,515,515,,,,,,,,,,,
8.43,576,516,515,,,,,,,,,,,
8.46,576,520,515,,,,,,,,,,,
8.49,578,527,518,,,,,,,,,,,
8.52,582,524,524,,,,,,,,,,,
8.55,592,525,538,,,,,,,,,,,
8.58,574,517,530,,,,,,,,,,,
8.61,582,515,519,,,,,,,,,,,
8.65,577,515,515,,,,,,,,,,,
8.68,576,516,514,,,,,,,,,,,
8.71,576,519,515,,,,,,,,,,,
8.74,578,526,518,,,,,,,,,,,
8.77,581,540,522,,,,,,,,,,,
8.8,589,529,534,,,,,,,,,,,
8.83,557,519,501,,,,,,,,,,,
8.86,585,516,521,,,,,,,,,,,
8.9,578,515,516,,,,,,,,,,,
8.93,576,516,515,,,,,,,,,,,
8.96,576,518,515,,,,,,,,,,,
8.99,577,522,517,,,,,,,,,,,
9.02,579,533,520,,,,,,,,,,,
9.05,585,500,528,,,,,,,,,,,
9.08,598,521,526,,,,,,,,,,,
9.11,588,516,524,,,,,,,,,,,
9.15,579,515,517,,,,,,,,,,,
9.18,576,515,515,,,,,,,,,,,
9.21,576,518,515,,,,,,,,,,,
9.24,577,522,516,,,,,,,,,,,
9.27,579,532,520,,,,,,,,,,,
9.3,583,500,529,,,,,,,,,,,
9.33,597,521,502,,,,,,,,,,,
9.36,587,516,523,,,,,,,,,,,
9.4,578,515,517,,,,,,,,,,,
9.43,576,518,517,,,,,,,,,,,
9.46,578,525,519,,,,,,,,,,,
9.49,582,505,528,,,,,,,,,,,
9.52,598,521,502,,,,,,,,,,,
9.55,584,516,521,,,,,,,,,,,
9.58,578,516,517,,,,,,,,,,,
9.61,577,519,517,,,,,,,,,,,
9.65,579,526,520,,,,,,,,,,,
9.68,584,518,528,,,,,,,,,,,
9.71,598,521,517,,,,,,,,,,,
9.74,585,516,521,,,,,,,,,,,
9.77,578,516,517,,,,,,,,,,,
9.8,577,518,517,,,,,,,,,,,
9.83,578,525,519,,,,,,,,,,,
9.86,582,540,527,,,,,,,,,,,
9.89,597,522,524,,,,,,,,,,,
9.93,586,517,522,,,,,,,,,,,
9.96,578,516,517,,,,,,,,,,,
9.99,577,519,517,,,,,,,,,,,
10.02,578,516,517,,,,,,,,,,,
10.05,577,517,526,,,,,,,,,,,
10.08,579,529,539,,,,,,,,,,,
10.12,578,533,522,,,,,,,,,,,
10.15,588,520,518,,,,,,,,,,,
10.18,580,517,517,,,,,,,,,,,
10.21,577,516,520,,,,,,,,,,,
10.25,578,521,498,,,,,,,,,,,
10.28,585,540,527,,,,,,,,,,,
10.31,596,523,519,,,,,,,,,,,
10.34,582,518,517,,,,,,,,,,,
10.37,578,516,518,,,,,,,,,,,
10.41,577,518,527,,,,,,,,,,,
10.44,580,530,540,,,,,,,,,,,
10.47,592,536,523,,,,,,,,,,,
10.5,592,522,519,,,,,,,,,,,
10.53,582,518,517,,,,,,,,,,,
10.57,579,516,518,,,,,,,,,,,
10.6,577,517,521,,,,,,,,,,,
10.63,578,521,531,,,,,,,,,,,
10.66,582,523,536,,,,,,,,,,,
10.7,565,534,524,,,,,,,,,,,
10.73,593,523,520,,,,,,,,,,,
10.76,584,520,518,,,,,,,,,,,
10.79,580,517,517,,,,,,,,,,,
10.82,578,517,518,,,,,,,,,,,
10.86,578,517,520,,,,,,,,,,,
10.89,578,519,526,,,,,,,,,,,
10.92,579,524,499,,,,,,,,,,,
10.95,583,503,535,,,,,,,,,,,
10.99,580,537,525,,,,,,,,,,,
11.02,596,525,520,,,,,,,,,,,
11.05,585,520,518,,,,,,,,,,,
11.08,581,518,517,,,,,,,,,,,
11.11,578,517,518,,,,,,,,,,,
11.15,577,517,520,,,,,,,,,,,
11.18,578,519,529,,,,,,,,,,,
11.21,580,528,543,,,,,,,,,,,
11.24,587,540,529,,,,,,,,,,,
11.28,584,529,522,,,,,,,,,,,
11.31,589,522,519,,,,,,,,,,,
11.34,582,519,518,,,,,,,,,,,
11.37,579,517,518,,,,,,,,,,,
11.41,578,517,520,,,,,,,,,,,
11.44,578,519,524,,,,,,,,,,,
11.47,579,522,523,,,,,,,,,,,
11.5,581,531,542,,,,,,,,,,,
11.53,587,520,531,,,,,,,,,,,
11.57,561,534,524,,,,,,,,,,,
11.6,595,526,521,,,,,,,,,,,
11.63,587,521,519,,,,,,,,,,,
11.66,582,519,518,,,,,,,,,,,
11.7,580,518,518,,,,,,,,,,,
11.73,579,518,518,,,,,,,,,,,
11.76,578,518,520,,,,,,,,,,,
11.79,578,519,526,,,,,,,,,,,
11.82,579,524,510,,,,,,,,,,,
11.86,583,519,536,,,,,,,,,,,
11.89,577,537,525,,,,,,,,,,,
11.92,596,525,521,,,,,,,,,,,
11.95,585,521,519,,,,,,,,,,,
11.98,581,518,518,,,,,,,,,,,
12.02,579,517,518,,,,,,,,,,,
12.05,578,518,521,,,,,,,,,,,
12.08,578,520,531,,,,,,,,,,,
12.11,580,531,540,,,,,,,,,,,
12.15,590,539,525,,,,,,,,,,,
12.18,596,525,520,,,,,,,,,,,
12.21,583,519,517,,,,,,,,,,,
12.24,579,517,517,,,,,,,,,,,
12.28,577,517,520,,,,,,,,,,,
12.31,578,521,523,,,,,,,,,,,
12.34,582,504,533,,,,,,,,,,,
12.37,559,531,522,,,,,,,,,,,
12.4,586,521,518,,,,,,,,,,,
12.44,580,518,517,,,,,,,,,,,
12.47,577,517,519,,,,,,,,,,,
12.5,577,520,532,,,,,,,,,,,
12.53,581,532,535,,,,,,,,,,,
12.57,560,532,523,,,,,,,,,,,
12.6,588,521,519,,,,,,,,,,,
12.63,581,518,518,,,,,,,,,,,
12.66,578,517,519,,,,,,,,,,,
12.69,578,519,526,,,,,,,,,,,
12.73,579,527,522,,,,,,,,,,,
12.76,586,535,530,,,,,,,,,,,
12.79,601,530,522,,,,,,,,,,,
12.82,589,522,519,,,,,,,,,,,
12.86,582,520,518,,,,,,,,,,,
12.89,579,518,518,,,,,,,,,,,
12.92,578,518,519,,,,,,,,,,,
12.95,578,519,523,,,,,,,,,,,
12.98,579,522,533,,,,,,,,,,,
13.02,581,531,539,,,,,,,,,,,
13.05,591,541,526,,,,,,,,,,,
13.08,598,527,521,,,,,,,,,,,
13.11,586,521,519,,,,,,,,,,,
13.15,581,519,518,,,,,,,,,,,
13.18,579,518,519,,,,,,,,,,,
13.21,578,518,520,,,,,,,,,,,
13.24,578,520,525,,,,,,,,,,,
13.28,579,523,521,,,,,,,,,,,
13.31,581,533,542,,,,,,,,,,,
13.34,588,542,530,,,,,,,,,,,
13.37,558,533,524,,,,,,,,,,,
13.4,593,525,521,,,,,,,,,,,
13.44,585,522,520,,,,,,,,,,,
13.47,582,520,519,,,,,,,,,,,
13.5,579,519,520,,,,,,,,,,,
13.53,578,519,521,,,,,,,,,,,
13.56,578,520,527,,,,,,,,,,,
13.6,579,526,509,,,,,,,,,,,
13.63,583,513,535,,,,,,,,,,,
13.66,574,536,525,,,,,,,,,,,
13.69,594,525,521,,,,,,,,,,,
13.73,584,521,519,,,,,,,,,,,
13.76,580,519,518,,,,,,,,,,,
13.79,578,518,520,,,,,,,,,,,
13.82,578,520,525,,,,,,,,,,,
13.85,579,525,505,,,,,,,,,,,
13.89,584,500,533,,,,,,,,,,,
13.92,593,532,523,,,,,,,,,,,
13.95,590,523,520,,,,,,,,,,,
13.98,582,520,519,,,,,,,,,,,
14.02,579,519,519,,,,,,,,,,,
14.05,578,519,522,,,,,,,,,,,
14.08,578,521,532,,,,,,,,,,,
14.11,580,530,541,,,,,,,,,,,
14.15,587,542,533,,,,,,,,,,,
14.18,578,534,525,,,,,,,,,,,
14.21,595,526,522,,,,,,,,,,,
14.24,586,522,520,,,,,,,,,,,
14.27,582,520,519,,,,,,,,,,,
14.31,580,519,519,,,,,,,,,,,
14.34,579,519,520,,,,,,,,,,,
14.37,578,519,521,,,,,,,,,,,
14.4,578,520,524,,,,,,,,,,,
14.44,579,522,532,,,,,,,,,,,
14.47,581,527,523,,,,,,,,,,,
14.5,584,526,541,,,,,,,,,,,
14.53,591,545,531,,,,,,,,,,,
14.56,558,535,526,,,,,,,,,,,
14.6,597,528,523,,,,,,,,,,,
14.63,589,524,521,,,,,,,,,,,
14.66,584,521,520,,,,,,,,,,,
14.69,581,519,520,,,,,,,,,,,
14.73,579,519,520,,,,,,,,,,,
14.76,578,519,523,,,,,,,,,,,
14.79,578,521,529,,,,,,,,,,,
14.82,580,527,523,,,,,,,,,,,
14.85,585,509,536,,,,,,,,,,,
14.89,570,537,525,,,,,,,,,,,
14.92,595,526,522,,,,,,,,,,,
14.95,585,522,520,,,,,,,,,,,
14.98,581,520,520,,,,,,,,,,,
15.02,579,520,521,,,,,,,,,,,
15.05,579,521,525,,,,,,,,,,,
15.08,580,525,530,,,,,,,,,,,
15.11,583,528,539,,,,,,,,,,,
15.15,574,539,527,,,,,,,,,,,
15.18,596,526,522,,,,,,,,,,,
15.21,585,522,521,,,,,,,,,,,
15.24,581,520,521,,,,,,,,,,,
15.27,580,520,522,,,,,,,,,,,
15.31,579,523,532,,,,,,,,,,,
15.34,582,534,543,,,,,,,,,,,
15.37,592,541,528,,,,,,,,,,,
15.4,595,526,523,,,,,,,,,,,
15.44,584,522,521,,,,,,,,,,,
15.47,581,520,521,,,,,,,,,,,
15.5,580,520,523,,,,,,,,,,,
15.53,580,522,531,,,,,,,,,,,
15.56,581,529,541,,,,,,,,,,,
15.6,587,515,536,,,,,,,,,,,
15.63,576,537,528,,,,,,,,,,,
15.66,597,528,525,,,,,,,,,,,
15.69,588,524,523,,,,,,,,,,,
15.73,584,522,523,,,,,,,,,,,
15.76,581,521,523,,,,,,,,,,,
15.79,580,520,524,,,,,,,,,,,
15.82,580,521,525,,,,,,,,,,,
15.85,580,522,530,,,,,,,,,,,
15.89,581,525,536,,,,,,,,,,,
15.92,583,532,546,,,,,,,,,,,
15.95,587,512,540,,,,,,,,,,,
15.98,594,543,532,,,,,,,,,,,
16.02,601,533,528,,,,,,,,,,,
16.05,593,527,525,,,,,,,,,,,
16.08,587,524,523,,,,,,,,,,,
16.11,583,522,523,,,,,,,,,,,
16.14,581,521,523,,,,,,,,,,,
16.18,581,521,525,,,,,,,,,,,
16.21,580,523,529,,,,,,,,,,,
16.24,581,526,538,,,,,,,,,,,
16.27,584,538,544,,,,,,,,,,,
16.31,593,544,532,,,,,,,,,,,
16.34,602,531,527,,,,,,,,,,,
16.37,589,525,524,,,,,,,,,,,
16.4,584,523,523,,,,,,,,,,,
16.43,581,521,523,,,,,,,,,,,
16.47,580,522,526,,,,,,,,,,,
16.5,581,525,538,,,,,,,,,,,
16.53,584,536,544,,,,,,,,,,,
16.56,593,546,532,,,,,,,,,,,
16.6,603,533,526,,,,,,,,,,,
16.63,592,527,524,,,,,,,,,,,
16.66,587,524,522,,,,,,,,,,,
16.69,584,523,522,,,,,,,,,,,
16.73,582,522,522,,,,,,,,,,,
16.76,581,522,522,,,,,,,,,,,
16.79,581,522,524,,,,,,,,,,,
16.82,581,523,526,,,,,,,,,,,
16.85,581,524,531,,,,,,,,,,,
16.89,582,528,527,,,,,,,,,,,
16.92,584,534,545,,,,,,,,,,,
16.95,587,514,541,,,,,,,,,,,
16.98,593,547,534,,,,,,,,,,,
17.01,577,541,529,,,,,,,,,,,
17.05,602,533,526,,,,,,,,,,,
17.08,595,529,524,,,,,,,,,,,
17.11,590,526,522,,,,,,,,,,,
17.14,586,525,521,,,,,,,,,,,
17.18,585,523,521,,,,,,,,,,,
17.21,583,523,521,,,,,,,,,,,
17.24,582,522,521,,,,,,,,,,,
17.27,581,522,521,,,,,,,,,,,
17.3,581,523,523,,,,,,,,,,,
17.34,581,524,526,,,,,,,,,,,
17.37,581,525,532,,,,,,,,,,,
17.4,582,529,505,,,,,,,,,,,
17.43,584,537,544,,,,,,,,,,,
17.47,589,502,536,,,,,,,,,,,
17.5,592,543,529,,,,,,,,,,,
17.53,602,534,524,,,,,,,,,,,
17.56,594,528,522,,,,,,,,,,,
17.6,587,525,520,,,,,,,,,,,
17.63,584,523,520,,,,,,,,,,,
17.66,582,522,520,,,,,,,,,,,
17.69,581,522,521,,,,,,,,,,,
17.72,581,524,526,,,,,,,,,,,
17.76,582,527,533,,,,,,,,,,,
17.79,585,538,541,,,,,,,,,,,
17.82,593,546,529,,,,,,,,,,,
17.85,603,533,524,,,,,,,,,,,
17.89,592,527,521,,,,,,,,,,,
17.92,585,525,520,,,,,,,,,,,
17.95,583,523,520,,,,,,,,,,,
17.98,582,523,520,,,,,,,,,,,
18.01,581,523,521,,,,,,,,,,,
18.05,581,523,523,,,,,,,,,,,
18.08,581,524,525,,,,,,,,,,,
18.11,581,525,529,,,,,,,,,,,
18.14,582,527,534,,,,,,,,,,,
18.18,583,529,523,,,,,,,,,,,
18.21,584,534,518,,,,,,,,,,,
18.24,585,537,540,,,,,,,,,,,
18.27,586,536,543,,,,,,,,,,,
18.3,587,522,542,,,,,,,,,,,
18.34,589,502,540,,,,,,,,,,,
18.37,591,533,537,,,,,,,,,,,
18.4,593,547,534,,,,,,,,,,,
18.43,594,548,532,,,,,,,,,,,
18.47,582,546,530,,,,,,,,,,,
18.5,565,543,529,,,,,,,,,,,
18.53,581,541,528,,,,,,,,,,,
18.56,602,539,527,,,,,,,,,,,
18.59,604,537,525,,,,,,,,,,,
18.63,603,535,525,,,,,,,,,,,
18.66,601,534,524,,,,,,,,,,,
18.69,599,533,524,,,,,,,,,,,
18.72,597,531,523,,,,,,,,,,,
18.76,594,530,523,,,,,,,,,,,
18.79,591,528,521,,,,,,,,,,,
18.82,589,527,521,,,,,,,,,,,
18.85,587,526,520,,,,,,,,,,,
18.88,585,525,519,,,,,,,,,,,
18.92,583,524,520,,,,,,,,,,,
18.95,583,526,521,,,,,,,,,,,
18.98,588,525,532,,,,,,,,,,,
19.01,583,530,528,,,,,,,,,,,
19.05,589,531,530,,,,,,,,,,,
19.08,577,518,516,,,,,,,,,,,
19.11,576,519,522,,,,,,,,,,,
19.14,579,526,530,,,,,,,,,,,
19.17,584,526,525,,,,,,,,,,,
19.21,567,530,520,,,,,,,,,,,
19.24,587,525,518,,,,,,,,,,,
19.27,583,522,517,,,,,,,,,,,
19.3,581,522,519,,,,,,,,,,,
19.34,581,524,528,,,,,,,,,,,
19.37,584,536,534,,,,,,,,,,,
19.4,577,536,523,,,,,,,,,,,
19.43,591,527,520,,,,,,,,,,,
19.47,585,524,518,,,,,,,,,,,
19.5,583,524,520,,,,,,,,,,,
19.53,582,526,529,,,,,,,,,,,
19.56,586,538,539,,,,,,,,,,,
19.59,589,543,527,,,,,,,,,,,
19.63,597,532,524,,,,,,,,,,,
19.66,590,531,525,,,,,,,,,,,
19.69,590,531,525,,,,,,,,,,,
19.72,588,532,531,,,,,,,,,,,
19.76,594,537,536,,,,,,,,,,,
19.79,592,535,537,,,,,,,,,,,
19.82,589,535,531,,,,,,,,,,,
19.85,589,537,526,,,,,,,,,,,
19.88,590,539,543,,,,,,,,,,,
19.92,591,511,540,,,,,,,,,,,
19.95,595,547,540,,,,,,,,,,,
19.98,599,554,539,,,,,,,,,,,
20.01,598,551,537,,,,,,,,,,,
20.04,597,551,535,,,,,,,,,,,
20.08,597,550,536,,,,,,,,,,,
20.11,598,551,534,,,,,,,,,,,
20.14,597,551,534,,,,,,,,,,,
20.17,597,545,533,,,,,,,,,,,
20.21,596,549,532,,,,,,,,,,,
20.24,597,548,533,,,,,,,,,,,
20.27,592,542,529,,,,,,,,,,,
20.3,576,542,527,,,,,,,,,,,
20.34,581,538,525,,,,,,,,,,,
20.37,601,534,524,,,,,,,,,,,
20.4,597,531,523,,,,,,,,,,,
20.43,592,529,521,,,,,,,,,,,
20.46,588,527,520,,,,,,,,,,,
20.5,585,525,519,,,,,,,,,,,
20.53,583,524,518,,,,,,,,,,,
20.56,582,523,519,,,,,,,,,,,
20.59,581,523,520,,,,,,,,,,,
20.63,581,524,525,,,,,,,,,,,
20.66,582,530,533,,,,,,,,,,,
20.69,587,534,528,,,,,,,,,,,
20.72,583,532,521,,,,,,,,,,,
20.75,588,526,518,,,,,,,,,,,
20.79,583,523,517,,,,,,,,,,,
20.82,581,522,519,,,,,,,,,,,
20.85,581,525,529,,,,,,,,,,,
20.88,584,513,527,,,,,,,,,,,
20.92,596,529,519,,,,,,,,,,,
20.95,585,523,517,,,,,,,,,,,
