Time,E0,E1,E2
3.87,448,456,590
3.90,443,442,608
3.94,461,440,609
3.97,444,457,615
4.00,447,439,607
4.03,450,450,620
4.06,443,443,609
4.09,466,440,609
4.12,444,453,613
4.15,450,439,607
4.19,447,427,626
4.22,444,441,608
4.25,456,445,615
4.28,443,444,609
4.31,457,440,609
4.34,444,452,613
4.37,454,439,608
4.40,447,464,622
4.43,447,440,608
4.47,451,453,605
4.50,445,442,609
4.53,462,443,614
4.56,445,446,612
4.59,452,441,610
4.62,448,462,620
4.65,449,441,609
4.68,454,451,622
4.72,446,445,613
4.75,466,441,611
4.78,447,458,618
4.81,450,441,610
4.84,455,450,621
4.87,447,447,613
4.90,448,441,611
4.93,451,435,630
4.97,448,444,612
5.00,471,443,614
5.03,449,460,621
5.06,452,443,613
5.09,461,448,618
5.12,448,451,617
5.15,457,443,613
5.18,455,455,620
5.22,449,448,616
5.25,459,443,614
5.28,453,422,623
5.31,449,445,618
5.34,473,443,617
5.37,450,464,628
5.40,451,443,617
5.43,464,446,620
5.46,449,453,621
5.50,456,442,615
5.53,456,455,620
5.56,450,447,617
5.59,432,443,616
5.62,453,467,629
5.65,452,444,614
5.68,465,447,620
5.71,451,452,619
5.75,462,443,615
5.78,456,422,635
5.81,452,445,616
5.84,475,445,617
5.87,453,457,621
5.90,458,444,614
5.93,458,456,613
5.96,452,447,617
5.99,458,444,617
6.03,453,463,625
6.06,455,444,616
6.09,461,451,626
6.12,451,449,618
6.15,452,444,616
6.18,454,468,633
6.21,452,445,617
6.24,468,446,620
6.28,451,454,622
6.31,458,444,618
6.34,456,460,602
6.37,451,447,618
6.40,472,446,619
6.43,452,461,624
6.46,456,445,617
6.49,458,457,628
6.52,451,448,619
6.56,474,446,619
6.59,452,459,624
6.62,457,443,617
6.65,456,441,625
6.68,451,445,619
6.71,468,447,623
6.74,451,451,621
6.77,462,444,618
6.80,453,466,627
6.84,455,444,617
6.87,457,459,603
6.90,452,447,619
6.93,472,447,622
6.96,452,453,624
6.99,464,444,619
7.02,456,447,638
7.05,453,446,618
7.09,470,447,621
7.12,452,455,624
7.15,461,444,617
7.18,456,460,607
7.21,451,446,619
7.24,474,444,620
7.27,451,455,623
7.30,458,442,617
7.34,456,444,621
7.37,452,444,617
7.40,468,446,622
7.43,451,450,621
7.46,464,443,618
7.49,453,464,626
7.52,455,444,617
7.55,457,458,613
7.59,452,445,618
7.62,464,449,626
7.65,451,448,620
7.68,456,444,621
7.71,452,456,623
7.74,463,444,618
7.77,455,468,632
7.80,455,445,619
7.84,459,460,603
7.87,453,447,620
7.90,472,448,624
7.93,453,452,624
7.96,468,445,621
7.99,456,467,634
8.02,455,445,620
8.05,463,452,629
8.09,454,450,621
8.12,437,445,620
8.15,455,462,626
8.18,458,445,618
8.21,459,460,613
8.24,454,447,619
8.27,475,446,621
8.30,454,453,623
8.33,467,444,619
8.37,456,470,631
8.40,457,445,618
8.43,462,457,626
8.46,456,448,621
8.49,475,448,623
8.52,455,452,622
8.55,463,446,620
8.58,456,463,627
8.61,462,445,619
8.65,460,427,637
8.68,457,447,619
8.71,467,451,628
8.74,455,451,622
8.77,462,446,621
8.80,456,459,626
8.83,464,445,620
8.86,459,440,638
8.90,457,447,620
8.93,467,453,629
8.96,456,451,622
8.99,454,447,622
9.02,458,465,629
9.05,460,446,620
9.08,464,455,631
9.11,456,451,622
9.15,438,446,622
9.18,459,469,633
9.21,460,447,621
9.24,466,455,632
9.27,458,452,623
9.30,445,447,622
9.33,460,469,634
9.36,460,448,621
9.40,471,452,626
9.43,458,456,625
9.46,466,447,622
9.49,464,461,630
9.52,458,452,624
9.55,435,448,623
9.58,461,472,637
9.61,460,449,622
9.65,476,451,625
9.68,460,460,628
9.71,466,449,623
9.74,466,459,633
9.77,460,453,625
9.80,472,448,623
9.83,462,471,640
9.86,461,450,623
9.89,480,451,625
9.93,460,461,628
9.96,465,448,622
9.99,467,458,634
10.02,460,449,623
10.05,462,450,623
10.08,473,459,627
10.12,472,462,610
10.15,461,450,624
10.18,461,449,623
10.21,467,454,625
10.25,477,473,637
10.28,464,454,628
10.31,460,448,622
10.34,463,451,623
10.37,478,462,628
10.41,468,460,633
10.44,461,449,623
10.47,463,451,623
10.50,479,464,630
10.53,466,456,630
10.57,461,449,623
10.60,466,453,625
10.63,485,470,634
10.66,464,454,628
10.70,461,449,623
10.73,467,455,627
10.76,489,473,638
10.79,465,455,629
10.82,461,449,623
10.86,466,453,625
10.89,483,471,637
10.92,463,453,627
10.95,462,449,623
10.99,468,455,627
11.02,478,443,628
11.05,462,450,625
11.08,464,452,625
11.11,483,468,635
11.15,465,453,628
11.18,462,450,624
11.21,470,456,628
11.24,475,466,625
11.28,462,449,625
11.31,464,450,625
11.34,485,468,636
11.37,464,452,628
11.41,462,448,624
11.44,470,455,628
11.47,475,463,619
11.50,464,448,625
11.53,467,451,627
11.57,488,473,641
11.60,465,450,627
11.63,465,450,625
11.66,478,462,632
11.70,469,455,631
11.73,464,449,625
11.76,469,453,628
11.79,467,434,644
11.82,464,450,628
11.86,465,449,628
11.89,478,460,632
11.92,472,459,638
11.95,464,449,627
11.98,467,452,628
12.02,484,465,635
12.05,469,456,635
12.08,464,450,627
12.11,468,453,629
12.15,489,473,644
12.18,466,452,630
12.21,465,450,627
12.24,476,461,633
12.28,471,458,636
12.31,464,451,628
12.34,470,454,630
12.37,450,464,648
12.40,466,451,629
12.44,466,452,629
12.47,484,468,637
12.50,468,454,632
12.53,465,451,628
12.57,473,457,631
12.60,478,466,640
12.63,465,450,628
12.66,469,453,630
12.69,485,472,645
12.73,467,453,630
12.76,467,452,629
12.79,478,461,634
12.82,475,461,639
12.86,466,451,629
12.89,470,454,630
12.92,491,473,640
12.95,469,455,633
12.98,468,452,629
13.02,473,457,632
13.05,459,430,639
13.08,467,452,632
13.11,468,452,630
13.15,479,462,636
13.18,476,464,640
13.21,467,451,631
13.24,470,453,631
13.28,487,468,638
13.31,472,458,637
13.34,469,452,631
13.37,474,457,633
13.40,460,474,650
13.44,469,453,631
13.47,469,452,629
13.50,482,464,636
13.53,474,459,636
13.56,468,452,630
13.60,474,458,634
13.63,480,466,641
13.66,469,453,631
13.69,475,458,635
13.73,484,465,624
13.76,469,453,632
13.79,473,456,633
13.82,453,447,637
13.85,469,452,632
13.89,471,454,633
13.92,494,475,646
13.95,470,454,634
13.98,469,452,633
14.02,479,462,638
14.05,480,465,643
14.08,469,452,632
14.11,473,455,634
14.15,471,477,651
14.18,470,453,634
14.21,471,454,634
14.24,489,469,641
14.27,473,457,639
14.31,471,453,633
14.34,477,460,637
14.37,485,468,629
14.40,470,453,634
14.44,473,455,635
14.47,492,472,643
14.50,474,457,639
14.53,471,453,633
14.56,476,458,637
14.60,483,440,655
14.63,472,454,637
14.66,473,455,635
14.69,490,469,644
14.73,475,457,639
14.76,472,453,635
14.79,481,461,640
14.82,482,465,646
14.85,472,453,635
14.89,477,459,639
14.92,472,446,647
14.95,472,454,638
14.98,476,457,640
15.02,479,436,626
15.05,472,452,637
15.08,476,459,640
15.11,485,465,644
15.15,469,449,633
15.18,476,456,638
15.21,472,452,637
15.24,467,447,633
15.27,480,461,641
15.31,469,449,635
15.34,467,448,634
15.37,483,462,644
15.40,469,450,638
15.44,468,447,633
15.47,479,458,639
15.50,471,452,638
15.53,466,447,632
15.56,471,451,634
15.60,483,467,647
15.63,468,449,636
15.66,466,446,633
15.69,469,448,633
15.73,478,455,637
15.76,480,426,651
15.79,468,450,639
15.82,466,446,634
15.85,467,447,634
15.89,471,450,636
15.92,485,459,639
15.95,477,447,652
15.98,467,449,638
16.02,466,446,635
16.05,468,447,634
16.08,473,452,637
16.11,486,469,646
16.14,471,454,645
16.18,466,447,636
16.21,466,447,635
16.24,469,448,635
16.27,475,453,637
16.31,490,464,641
16.34,477,436,652
16.37,468,454,645
16.40,466,449,640
16.43,466,448,638
16.47,466,447,636
16.50,466,447,635
16.53,467,447,636
16.56,468,448,638
16.60,469,448,637
16.63,470,450,638
16.66,472,450,638
16.69,474,452,638
16.73,476,452,639
16.76,479,453,638
16.79,481,455,639
16.82,484,456,637
16.85,486,457,637
16.89,487,458,641
16.92,487,458,638
16.95,487,458,638
16.98,487,458,639
17.01,488,457,638
17.05,487,457,639
17.08,486,456,639
17.11,485,456,637
17.14,484,455,636
17.18,483,455,636
17.21,481,455,636
17.24,480,454,635
17.27,480,454,636
17.30,478,453,635
17.34,477,452,635
17.37,477,452,635
17.40,476,453,636
17.43,475,452,637
17.47,475,452,636
17.50,474,451,636
17.53,473,452,636
17.56,473,451,634
17.60,472,451,634
17.63,471,451,634
17.66,471,450,636
17.69,471,450,636
17.72,470,449,634
17.76,469,450,635
17.79,469,449,635
17.82,469,450,635
17.85,469,450,635
17.89,468,450,636
17.92,469,449,635
17.95,468,450,635
17.98,468,450,636
18.01,468,449,636
18.05,468,450,636
18.08,468,449,637
18.11,468,450,637
18.14,468,449,637
18.18,468,450,638
18.21,468,450,639
18.24,468,451,642
18.27,469,452,641
18.30,469,451,640
18.34,469,451,639
18.37,469,451,640
18.40,469,451,639
18.43,469,450,639
18.47,469,451,639
18.50,469,450,639
18.53,469,451,640
18.56,469,450,640
18.59,469,450,640
18.63,469,450,640
18.66,470,450,641
18.69,470,450,641
18.72,470,451,642
18.76,470,452,643
18.79,470,452,646
18.82,470,454,648
18.85,472,456,637
18.88,472,459,621
18.92,474,462,652
18.95,476,456,652
18.98,479,450,647
19.01,483,471,644
19.05,456,468,642
19.08,493,464,641
19.11,492,460,640
19.14,487,457,640
19.17,483,455,639
19.21,480,454,639
19.24,477,453,639
19.27,476,452,639
19.30,475,451,639
19.34,473,451,636
19.37,473,450,638
19.40,472,449,638
19.43,472,450,638
19.47,472,449,637
19.50,472,450,638
19.53,472,449,638
19.56,472,449,637
19.59,472,449,638
19.63,472,448,638
19.66,472,449,638
19.69,472,448,638
19.72,473,448,637
19.76,474,449,638
19.79,475,450,638
19.82,476,451,638
19.85,477,452,638
19.88,478,453,638
19.92,480,453,638
19.95,481,454,639
19.98,483,455,638
20.01,484,455,639
20.04,485,456,639
20.08,486,456,639
20.11,485,456,639
20.14,485,456,638
20.17,484,456,629
20.21,484,456,628
20.24,482,456,627
20.27,482,455,627
20.30,481,454,627
20.34,480,454,627
20.37,480,453,627
20.40,479,452,627
20.43,479,453,627
20.46,479,453,627
20.50,480,453,627
20.53,482,454,627
20.56,484,455,628
20.59,489,457,631
20.63,495,462,630
20.66,493,467,633
20.69,467,471,635
20.72,486,452,639
20.75,482,452,643
20.79,479,463,637
20.82,477,458,625
20.85,476,454,638
20.88,475,452,634
20.92,474,451,634
20.95,474,450,634
20.98,474,449,632
21.01,475,449,633
21.04,476,449,633
21.08,477,450,637
21.11,478,450,637
21.14,479,451,638
21.17,481,452,638
21.21,482,453,638
21.24,484,454,639
21.27,486,455,639
21.30,489,456,640
21.34,492,459,641
21.37,496,462,642
21.40,494,465,642
21.43,453,469,645
21.46,486,468,646
21.50,488,450,649
21.53,484,443,652
21.56,482,464,655
21.59,480,464,657
21.62,480,462,655
21.66,479,461,653
21.69,479,460,649
21.72,479,459,645
21.75,480,459,647
21.79,480,460,651
21.82,480,461,656
21.85,480,462,659
21.88,481,464,657
21.92,483,467,656
21.95,483,455,653
21.98,485,434,651
22.01,487,447,650
22.04,489,457,649
22.08,490,462,648
22.11,490,464,647
22.14,491,465,648
22.17,490,462,649
22.21,489,451,651
22.24,488,433,652
22.27,486,443,655
22.30,485,458,655
22.33,483,465,658
22.37,482,462,656
22.40,481,460,637
22.43,480,458,633
22.46,480,457,644
22.50,480,455,651
22.53,479,455,650
22.56,479,453,648
22.59,478,453,646
22.62,478,452,645
22.66,478,452,644
22.69,478,451,643
22.72,478,451,643
22.75,478,450,643
22.79,479,451,644
22.82,478,450,643
22.85,478,450,642
22.88,478,450,642
22.92,478,450,642
22.95,479,450,642
22.98,479,450,643
23.01,479,451,643
23.04,479,451,644
23.08,479,452,645
23.11,479,453,648
23.14,480,454,650
23.17,481,457,625
23.20,482,464,658
23.24,486,441,652
23.27,493,469,646
23.30,464,468,644
23.33,488,466,646
23.37,499,464,646
23.40,500,464,645
23.43,501,463,645
23.46,500,461,645
23.50,498,459,643
23.53,494,457,643
23.56,492,456,643
23.59,490,455,642
23.62,488,454,642
23.66,486,454,641
23.69,485,453,641
23.72,484,452,641
23.75,483,452,641
23.79,482,451,641
23.82,482,450,642
23.85,481,450,640
23.88,481,450,641
23.92,481,451,644
23.95,482,451,642
23.98,481,450,642
24.01,481,450,642
24.04,481,450,641
24.08,482,450,642
24.11,482,450,642
24.14,482,449,641
24.17,482,449,641
24.20,482,449,643
24.24,481,449,641
24.27,481,449,642
24.30,481,449,642
24.33,481,449,641
24.37,480,449,641
24.40,480,449,642
24.43,480,449,642
24.46,480,449,643
24.50,480,449,643
24.53,480,450,644
24.56,480,450,645
24.59,480,451,647
24.62,480,452,650
24.66,481,454,649
24.69,482,457,627
24.72,484,462,658
24.75,487,446,654
24.78,491,462,649
24.82,483,469,646
24.85,494,464,645
24.88,502,459,643
24.91,496,456,643
24.95,491,454,642
24.98,488,452,642
25.01,486,451,641
25.04,484,451,641
25.07,483,450,641
25.11,482,449,641
25.14,481,449,641
25.17,481,449,642
25.20,481,449,642
25.24,481,449,643
25.27,482,450,644
25.30,481,450,644
25.33,481,450,645
25.36,481,451,646
25.40,481,451,646
25.43,483,451,646
25.46,482,451,646
25.49,482,451,647
25.53,482,452,646
25.56,482,452,647
25.59,482,451,645
25.62,482,451,645
25.66,481,451,644
25.69,481,451,644
25.72,482,450,644
25.75,482,451,643
25.78,482,451,643
25.82,483,451,644
25.85,482,450,643
25.88,482,451,643
25.91,482,450,643
25.95,482,450,643
25.98,482,451,645
26.01,482,451,645
26.04,482,451,645
26.07,483,452,647
26.11,483,452,649
26.14,483,454,650
26.17,484,455,647
26.20,485,457,627
26.23,485,460,653
26.27,487,462,657
26.30,489,436,654
26.33,492,463,652
26.36,496,473,649
26.40,482,472,648
26.43,480,467,645
26.46,504,463,644
26.49,503,460,645
26.53,498,457,644
26.56,493,455,644
26.59,491,455,642
26.62,490,454,642
26.65,489,454,641
26.69,489,454,642
26.72,490,455,642
26.75,490,455,642
26.78,491,455,643
26.82,492,456,642
26.85,494,457,642
26.88,497,458,643
26.91,499,459,642
26.94,503,461,643
26.98,505,463,643
27.01,504,466,644
27.04,477,470,645
27.07,483,474,647
27.11,497,473,648
27.14,495,467,650
27.17,494,458,651
27.20,493,449,652
27.23,492,438,653
27.27,493,436,654
27.30,491,442,655
27.33,491,443,654
27.36,491,442,654
27.40,491,440,654
27.43,492,434,653
27.46,493,438,652
27.49,494,456,650
27.53,495,468,649
27.56,497,474,647
27.59,497,475,646
27.62,486,474,645
27.65,471,473,645
27.69,477,470,644
27.72,499,469,644
27.75,506,467,644
27.78,508,467,644
27.81,508,466,643
27.85,507,465,643
27.88,507,465,643
27.91,507,465,642
27.94,507,465,643
27.98,507,465,643
28.01,507,465,643
28.04,507,465,642
28.07,507,464,642
28.11,506,464,642
28.14,506,464,642
28.17,504,463,642
28.20,502,461,641
28.23,501,461,641
28.27,499,460,641
28.30,498,459,641
28.33,497,459,641
28.36,498,459,642
28.40,498,460,641
28.43,498,460,641
28.46,499,460,641
28.49,499,460,642
28.52,499,460,641
28.56,498,460,642
28.59,498,459,641
28.62,497,458,640
28.65,496,458,640
28.69,495,457,642
28.72,495,457,640
28.75,494,456,640
28.78,494,457,641
28.81,493,456,641
28.85,493,456,641
28.88,493,456,641
28.91,493,456,641
28.94,493,457,641
28.98,493,456,640
29.01,493,457,640
29.04,493,456,640
29.07,492,456,640
29.11,492,456,639
29.14,491,456,639
29.17,491,457,639
29.20,493,456,639
29.23,494,456,640
29.27,497,458,641
29.30,502,461,641
29.33,507,464,642
29.36,508,469,644
29.39,468,474,645
29.43,500,475,649
29.46,497,445,653
29.49,494,466,655
29.52,491,461,637
29.56,489,457,647
29.59,489,456,644
29.62,488,455,643
29.65,488,453,641
29.68,488,452,641
29.72,488,452,641
29.75,489,452,642
29.78,489,452,641
29.81,489,453,641
29.85,490,453,639
29.88,491,453,639
29.91,492,454,640
29.94,492,455,641
29.98,493,455,641
30.01,493,456,641
30.04,494,456,640
30.07,495,457,640
30.10,496,457,640
30.14,496,457,640
30.17,496,458,640
30.20,496,458,640
30.23,496,457,640
30.27,495,456,640
30.30,494,456,640
30.33,493,455,639
30.36,493,455,639
30.39,492,454,638
30.43,491,453,638
30.46,491,453,639
30.49,490,453,639
30.52,490,453,639
30.56,490,453,639
30.59,490,453,639
30.62,490,453,640
30.65,490,453,640
30.68,490,454,639
30.72,490,454,640
30.75,490,453,640
30.78,490,453,639
30.81,490,453,639
30.85,490,454,639
30.88,491,453,639
30.91,492,453,639
30.94,492,454,639
30.98,493,454,639
31.01,494,455,639
31.04,494,455,639
31.07,495,456,639
31.10,495,456,639
31.14,496,457,639
31.17,496,456,639
31.20,495,455,639
31.23,495,455,639
31.26,495,455,640
31.30,494,454,639
31.33,494,454,639
31.36,493,454,639
31.39,492,454,639
31.43,491,455,639
31.46,491,455,640
31.49,491,455,642
31.52,491,456,644
31.55,492,458,648
31.59,493,462,633
31.62,496,461,653
31.65,502,476,646
31.68,474,471,643
31.72,511,463,641
31.75,501,459,640
31.78,496,457,639
31.81,494,455,639
31.85,492,454,640
31.88,492,455,642
31.91,492,457,647
31.94,494,460,625
31.97,496,467,654
32.01,502,471,647
32.04,497,473,644
32.07,509,466,642
32.10,510,462,641
32.14,505,460,641
32.17,502,458,640
32.20,499,458,640
32.23,498,457,639
32.27,497,456,639
32.30,496,455,639
32.33,496,455,640
32.36,496,455,639
32.39,495,454,640
32.43,494,454,640
32.46,493,454,640
32.49,493,454,641
32.52,493,455,643
32.56,493,456,645
32.59,494,458,645
32.62,496,464,657
32.65,499,456,651
32.68,506,473,646
32.72,486,469,643
32.75,513,464,642
32.78,505,460,641
32.81,500,458,640
32.85,497,456,640
32.88,496,455,640
32.91,495,454,640
32.94,494,454,641
32.97,494,455,643
33.01,494,457,647
33.04,495,461,629
33.07,498,463,653
33.10,506,475,645
33.13,516,466,643
33.17,507,461,642
33.20,501,458,641
33.23,498,456,640
33.26,497,455,640
33.30,496,455,640
33.33,495,455,641
33.36,495,455,641
33.39,494,455,641
33.43,494,456,643
33.46,495,456,644
33.49,495,457,645
33.52,495,458,648
33.55,496,460,650
33.59,496,462,627
33.62,498,466,655
33.65,500,461,655
33.68,502,443,652
33.72,505,474,649
33.75,506,477,646
33.78,483,475,645
33.81,492,472,645
33.85,505,471,644
33.88,512,470,644
33.91,514,469,644
33.94,516,467,644
33.97,517,466,643
34.01,516,465,643
34.04,515,464,642
34.07,512,463,642
34.10,509,462,641
34.13,506,461,641
34.17,505,460,641
34.20,504,459,641
34.23,503,459,641
34.26,502,459,641
34.30,501,458,640
34.33,500,458,640
34.36,500,457,640
34.39,499,457,640
34.42,499,456,640
34.46,499,456,640
34.49,498,456,640
34.52,497,455,640
34.55,497,455,640
34.59,497,454,640
34.62,496,454,640
34.65,496,454,640
34.68,496,455,641
34.72,496,455,643
34.75,496,456,645
34.78,496,457,649
34.81,497,460,627
34.84,499,464,658
34.88,501,465,656
34.91,502,440,653
34.94,505,461,650
34.97,508,474,648
35.01,510,475,646
35.04,505,475,646
35.07,496,475,646
35.10,510,476,647
35.13,509,473,649
35.17,506,457,652
35.20,503,457,657
35.23,501,466,657
35.26,499,462,630
35.30,499,460,640
35.33,498,458,649
35.36,498,457,647
35.39,497,456,645
35.42,497,455,644
35.46,497,455,643
35.49,497,455,643
35.52,497,454,642
35.55,497,454,643
35.59,497,454,643
35.62,497,455,643
35.65,497,456,644
35.68,497,456,645
35.72,497,457,646
35.75,498,458,648
35.78,498,459,648
35.81,498,461,625
35.84,500,464,655
35.88,501,468,657
35.91,504,436,651
35.94,509,475,647
35.97,496,473,645
36.00,515,465,643
36.04,513,460,642
36.07,506,458,641
36.10,502,456,640
36.13,500,455,640
36.17,498,454,640
36.20,497,454,640
36.23,497,454,642
36.26,497,456,647
36.29,499,459,637
36.33,500,463,656
36.36,502,467,653
36.39,507,448,649
36.42,511,471,646
36.46,500,473,645
36.49,478,471,644
36.52,502,470,643
36.55,512,469,643
36.59,516,468,643
36.62,518,468,643
36.65,517,468,643
36.68,513,470,643
36.71,498,471,644
36.75,480,473,644
36.78,493,474,645
36.81,501,474,645
36.84,504,474,645
36.88,507,474,645
36.91,511,473,646
36.94,513,472,646
36.97,513,472,646
37.00,513,473,646
37.04,511,474,645
37.07,505,474,644
37.10,489,473,644
37.13,498,471,643
37.17,517,468,642
37.20,520,466,642
37.23,519,464,641
37.26,516,463,640
37.29,514,461,640
37.33,512,461,640
37.36,511,460,640
37.39,510,460,640
37.42,510,460,640
37.46,509,459,640
37.49,508,459,639
37.52,507,459,639
37.55,506,458,639
37.58,506,458,639
37.62,505,457,639
37.65,504,456,638
37.68,503,456,639
37.71,503,456,639
37.75,502,455,638
37.78,501,455,639
37.81,501,455,639
37.84,500,455,640
37.87,501,456,642
37.91,501,458,647
37.94,503,461,630
37.97,505,469,654
38.00,510,462,647
38.04,487,473,642
38.07,523,465,641
38.10,513,460,639
38.13,507,458,639
38.17,504,456,638
38.20,503,455,638
38.23,502,455,639
38.26,501,456,640
38.29,502,456,642
38.33,502,458,647
38.36,503,461,637
38.39,505,465,653
38.42,507,457,653
38.46,511,466,648
38.49,515,478,645
38.52,481,473,643
38.55,523,468,642
38.58,521,464,641
38.62,515,462,641
38.65,512,461,640
38.68,509,459,639
38.71,507,458,639
38.75,506,458,639
38.78,505,457,639
38.81,505,456,639
38.84,504,456,638
38.87,504,456,639
38.91,503,455,639
38.94,503,456,639
38.97,503,457,641
39.00,503,457,643
39.04,503,459,648
39.07,505,463,637
39.10,507,469,655
39.13,510,448,649
39.16,516,478,646
39.20,492,473,643
39.23,515,468,642
39.26,522,465,641
39.29,518,463,641
39.33,515,461,640
39.36,512,460,640
39.39,510,459,639
39.42,509,458,639
39.45,508,457,639
39.49,507,457,639
39.52,506,456,639
39.55,505,456,639
39.58,504,455,639
39.62,504,456,639
39.65,504,456,639
39.68,504,456,639
39.71,504,456,640
39.74,504,456,640
39.78,504,456,640
39.81,504,456,640
39.84,504,456,639
39.87,504,456,639
39.91,504,456,639
39.94,504,456,639
39.97,505,456,639
40.00,505,456,639
40.04,505,456,639
40.07,505,456,641
40.10,505,456,639
40.13,505,456,639
40.16,505,456,639
40.20,504,456,639
40.23,504,456,639
40.26,504,456,640
40.29,504,456,641
40.33,504,457,644
40.36,505,458,647
40.39,506,461,635
40.42,507,466,657
40.45,510,459,651
40.49,516,472,646
40.52,487,472,644
40.55,526,466,642
40.58,522,463,642
40.61,519,462,641
40.65,517,461,641
40.68,517,461,641
40.71,516,461,641
40.74,515,461,641
40.78,514,460,641
40.81,513,460,641
40.84,513,460,641
40.87,512,460,641
40.90,512,459,641
40.94,512,459,640
40.97,513,460,640
41.00,512,460,641
41.03,512,459,640
41.07,512,459,641
41.10,512,459,640
41.13,511,459,640
41.16,511,459,640
41.20,511,459,640
41.23,511,459,640
41.26,511,459,641
41.29,512,460,641
41.32,512,459,640
41.36,511,459,640
41.39,511,459,640
41.42,510,458,640
41.45,509,457,640
41.49,508,456,640
41.52,508,456,640
41.55,507,456,640
41.58,506,456,640
41.61,506,456,641
41.65,506,456,642
41.68,506,457,643
41.71,507,458,648
41.74,507,462,640
41.78,509,467,653
41.81,511,465,654
41.84,514,443,651
41.87,517,471,648
41.90,517,476,647
41.94,506,476,647
41.97,508,476,647
42.00,519,471,650
42.03,516,440,653
42.06,513,469,656
42.10,511,466,630
42.13,509,461,650
42.16,507,459,646
42.19,507,457,644
42.23,507,457,642
42.26,507,456,642
42.29,507,456,641
42.32,507,455,640
42.36,507,456,640
42.39,507,456,640
42.42,508,456,640
42.45,509,456,639
42.49,510,457,639
42.52,511,458,640
42.55,512,459,640
42.58,513,459,641
42.61,515,460,641
42.65,517,462,641
42.68,521,463,642
42.71,526,466,643
42.74,527,470,644
42.78,488,475,646
42.81,521,469,649
42.84,516,456,655
42.87,512,467,643
42.90,510,462,648
42.94,509,459,646
42.97,508,458,643
43.00,508,457,642
43.03,508,456,641
43.06,508,456,640
43.10,508,456,640
43.13,508,456,640
43.16,508,456,640
43.19,508,456,640
43.23,508,456,640
43.26,508,456,640
43.29,508,456,640
43.32,507,457,640
43.36,507,457,641
43.39,507,457,641
43.42,507,457,642
43.45,507,458,643
43.49,508,459,645
43.52,508,460,648
43.55,509,463,634
43.58,511,468,657
43.61,513,468,653
43.65,518,466,648
43.68,510,477,645
43.71,526,471,643
43.74,525,466,642
43.77,518,463,641
43.81,514,461,640
43.84,511,460,640
43.87,510,459,640
43.90,509,459,640
43.94,509,458,641
43.97,508,459,641
44.00,509,459,643
44.03,509,460,646
44.06,510,461,649
44.10,511,463,645
44.13,512,466,629
44.16,513,471,655
44.19,515,460,654
44.23,519,452,651
44.26,521,473,649
44.29,518,478,647
44.32,499,477,646
44.36,500,475,645
44.39,524,473,644
44.42,531,471,644
44.45,532,470,644
44.48,532,468,643
44.52,529,466,643
44.55,526,465,642
44.58,523,463,642
44.61,521,462,642
