Time,B0,B1,B2
10.41,614,551,473
10.44,619,527,487
10.47,609,548,470
10.50,608,546,468
10.53,612,550,471
10.57,613,567,488
10.60,609,549,472
10.63,608,546,468
10.66,611,549,470
10.70,625,562,482
10.73,612,553,476
10.76,608,546,468
10.79,610,548,469
10.82,620,557,478
10.86,613,554,477
10.89,608,546,468
10.92,610,550,471
10.95,625,565,485
10.99,612,550,472
11.02,609,547,469
11.05,613,551,472
11.08,612,528,469
11.11,609,548,470
11.15,611,548,469
11.18,618,556,477
11.21,614,554,478
11.24,610,547,468
11.28,611,550,471
11.31,625,563,483
11.34,611,552,474
11.37,609,547,468
11.41,614,552,472
11.44,591,568,489
11.47,611,549,471
11.50,611,547,468
11.53,614,553,473
11.57,608,542,479
11.60,611,550,470
11.63,610,549,469
11.66,617,554,475
11.70,617,558,481
11.73,609,548,468
11.76,611,550,469
11.79,621,558,475
11.82,614,556,474
11.86,610,548,463
11.89,612,549,464
11.92,623,561,475
11.95,613,553,471
11.98,610,548,463
12.02,613,549,464
12.05,623,559,474
12.08,613,554,472
12.11,610,548,463
12.15,611,549,464
12.18,625,562,474
12.21,612,553,471
12.24,609,548,462
12.28,613,551,464
12.31,625,562,477
12.34,612,552,469
12.37,611,548,463
12.40,612,551,465
12.44,626,564,479
12.47,612,552,468
12.50,611,550,464
12.53,614,552,467
12.57,623,571,485
12.60,612,551,467
12.63,612,550,463
12.66,615,554,467
12.69,599,540,476
12.73,611,550,465
12.76,612,550,463
12.79,615,553,467
12.82,622,554,466
12.86,611,549,465
12.89,610,548,462
12.92,617,554,468
12.95,619,556,444
12.98,610,548,463
13.02,611,548,462
13.05,619,555,468
13.08,617,559,476
13.11,611,549,464
13.15,612,550,462
13.18,621,557,470
13.21,614,555,473
13.24,610,548,462
13.28,613,550,463
13.31,625,563,476
13.34,613,554,468
13.37,611,549,462
13.40,616,553,466
13.44,619,531,478
13.47,611,550,463
13.50,613,550,462
13.53,619,558,471
13.56,614,554,470
13.60,610,548,461
13.63,614,552,463
13.66,630,568,481
13.69,613,551,464
13.73,611,550,462
13.76,615,553,466
13.79,622,556,456
13.82,611,551,464
13.85,611,549,463
13.89,617,555,468
13.92,620,559,446
13.95,612,550,463
13.98,611,548,461
14.02,614,551,464
14.05,617,533,474
14.08,610,548,462
14.11,611,548,460
14.15,613,551,463
14.18,626,561,473
14.21,614,555,473
14.24,611,548,461
14.27,610,549,462
14.31,615,553,465
14.34,616,532,481
14.37,612,550,463
14.40,610,548,461
14.44,613,551,464
14.47,618,567,479
14.50,612,552,466
14.53,610,548,462
14.56,613,550,464
14.60,625,561,474
14.63,613,553,470
14.66,611,549,461
14.69,611,550,462
14.73,617,554,467
14.76,619,546,456
14.79,612,550,464
14.82,610,549,461
14.85,613,552,465
14.89,627,562,473
14.92,616,556,474
14.95,611,550,464
14.98,612,549,462
15.02,617,554,467
15.05,598,569,481
15.08,614,553,468
15.11,611,549,463
15.15,612,550,462
15.18,620,554,467
15.21,620,531,476
15.24,611,550,465
15.27,610,548,461
15.31,614,550,463
15.34,625,563,475
15.37,615,554,470
15.40,612,549,462
15.44,614,552,464
15.47,626,564,476
15.50,614,553,470
15.53,612,548,462
15.56,613,552,465
15.60,625,561,474
15.63,615,554,471
15.66,611,550,463
15.69,613,550,463
15.73,620,556,469
15.76,620,551,445
15.79,612,551,464
15.82,612,551,463
15.85,615,552,465
15.89,629,565,475
15.92,615,556,473
15.95,612,549,463
15.98,614,551,463
16.02,617,554,467
16.05,619,532,483
16.08,613,552,466
16.11,612,549,462
16.14,615,552,464
16.18,628,565,476
16.21,615,554,470
16.24,611,551,463
16.27,612,549,462
16.31,619,555,468
16.34,620,541,465
16.37,613,551,465
16.40,611,548,462
16.43,616,552,464
16.47,625,561,472
16.50,618,559,475
16.53,614,552,464
16.56,613,550,463
16.60,616,554,466
16.63,627,562,473
16.66,620,561,463
16.69,613,552,465
16.73,613,550,464
16.76,616,553,464
16.79,626,561,472
16.82,618,560,456
16.85,612,551,464
16.89,612,551,462
16.92,615,554,465
16.95,628,563,474
16.98,619,559,478
17.01,614,552,465
17.05,615,551,462
17.08,616,553,466
17.11,630,565,476
17.14,616,556,473
17.18,612,550,463
17.21,613,551,464
17.24,621,557,469
17.27,621,562,463
17.30,613,552,464
17.34,614,551,463
17.37,621,557,469
17.40,620,561,452
17.43,613,551,464
17.47,613,550,463
17.50,618,555,467
17.53,616,549,480
17.56,614,552,466
17.60,613,550,463
17.63,616,553,465
17.66,628,562,473
17.69,617,557,475
17.72,614,550,463
17.76,613,550,463
17.79,616,553,466
17.82,628,567,477
17.85,616,557,473
17.89,613,551,464
17.92,614,551,463
17.95,617,553,465
17.98,627,561,472
18.01,620,560,468
18.05,613,552,465
18.08,613,550,462
18.11,615,551,462
18.14,619,554,465
18.18,631,566,475
18.21,618,559,476
18.24,613,551,465
18.27,613,550,462
18.30,615,551,464
18.34,621,557,468
18.37,605,566,483
18.40,617,555,471
18.43,614,551,464
18.47,614,552,463
18.50,618,554,466
18.53,627,562,472
18.56,619,562,444
18.59,613,553,465
18.63,613,551,463
18.66,615,553,464
18.69,621,558,468
18.72,617,569,484
18.76,616,556,471
18.79,614,552,465
18.82,615,552,464
18.85,617,554,467
18.88,628,564,472
18.92,619,563,448
18.95,615,553,466
18.98,613,551,463
19.01,615,552,465
19.05,620,556,467
19.08,633,569,477
19.11,619,560,479
19.14,615,553,466
19.17,613,551,464
19.21,615,553,465
19.24,621,557,468
19.27,623,569,477
19.30,618,561,471
19.34,616,553,466
19.37,614,553,464
19.40,616,553,465
19.43,621,558,469
19.47,612,573,483
19.50,617,556,471
19.53,615,553,464
19.56,615,553,464
19.59,620,558,469
19.63,603,573,485
19.66,617,555,469
19.69,616,553,464
19.72,617,554,466
19.76,625,560,472
19.79,620,563,474
19.82,616,554,466
19.85,615,552,466
19.88,618,556,468
19.92,631,568,478
19.95,618,559,476
19.98,614,552,465
20.01,615,552,464
20.04,618,556,467
20.08,630,569,478
20.11,618,559,476
20.14,615,553,467
20.17,616,553,465
20.21,619,556,468
20.24,632,568,477
20.27,619,561,479
20.30,615,553,467
20.34,616,554,466
20.37,617,554,467
20.40,628,562,475
20.43,623,565,459
20.46,616,554,469
20.50,615,554,464
20.53,618,556,466
20.56,630,564,475
20.59,620,559,476
20.63,614,554,466
20.66,616,552,464
20.69,619,557,468
20.72,606,573,484
20.75,618,555,469
20.79,615,552,465
20.82,617,553,465
20.85,623,558,470
20.88,622,554,484
20.92,616,555,468
20.95,616,553,465
20.98,617,555,466
21.01,624,560,470
21.04,618,544,483
21.08,617,556,470
21.11,616,554,465
21.14,618,555,465
21.17,622,559,470
21.21,607,566,484
21.24,618,558,472
21.27,616,554,465
21.30,617,555,465
21.34,622,559,470
21.37,612,573,485
21.40,619,557,471
21.43,617,554,465
21.46,618,556,466
21.50,625,561,471
21.53,626,542,472
21.56,618,556,468
21.59,617,554,465
21.62,620,557,468
21.66,634,569,479
21.69,620,560,474
21.72,617,555,466
21.75,618,555,466
21.79,624,560,471
21.82,627,551,484
21.85,618,556,467
21.88,617,554,464
21.92,619,556,466
21.95,629,563,472
21.98,624,566,445
22.01,617,555,466
22.04,617,554,464
22.08,619,557,466
22.11,630,564,473
22.14,623,565,453
22.17,617,556,467
22.21,617,554,464
22.24,620,556,466
22.27,627,563,471
22.30,626,561,455
22.33,618,556,468
22.37,617,555,464
22.40,619,556,466
22.43,626,561,471
22.46,627,558,479
22.50,618,556,467
22.53,617,555,464
22.56,620,557,466
22.59,631,566,474
22.62,622,563,477
22.66,618,555,466
22.69,618,556,465
22.72,623,559,469
22.75,605,574,485
22.79,619,557,469
22.82,618,555,465
22.85,620,557,467
22.88,632,567,476
22.92,622,562,476
22.95,618,556,465
22.98,619,556,466
23.01,624,561,470
23.04,628,555,481
23.08,619,557,468
23.11,618,556,465
23.14,621,558,467
23.17,632,567,476
23.20,622,563,478
23.24,619,556,466
23.27,619,557,466
23.30,624,561,471
23.33,624,550,482
23.37,619,558,468
23.40,619,556,465
23.43,622,560,469
23.46,604,554,479
23.50,619,557,467
23.53,619,557,466
23.56,625,562,472
23.59,626,567,477
23.62,619,557,466
23.66,620,558,467
23.69,632,569,478
23.72,622,561,472
23.75,619,557,466
23.79,622,559,468
23.82,635,577,486
23.85,620,559,469
23.88,619,557,466
23.92,624,561,470
23.95,626,554,447
23.98,619,557,467
24.01,620,557,466
24.04,627,564,473
24.08,625,565,478
24.11,619,557,466
24.14,621,558,467
24.17,633,570,479
24.20,622,560,471
24.24,619,557,466
24.27,623,560,470
24.30,615,547,470
24.33,620,557,467
24.37,620,557,467
24.40,631,568,478
24.43,622,560,471
24.46,619,557,466
24.50,623,561,470
24.53,628,555,471
24.56,619,557,467
24.59,620,557,466
24.62,627,564,473
24.66,625,565,478
24.69,619,557,466
24.72,621,558,467
24.75,630,567,475
24.78,623,563,475
24.82,619,557,466
24.85,621,558,467
24.88,632,568,476
24.91,623,562,475
24.95,619,557,466
24.98,621,558,467
25.01,631,567,475
25.04,624,563,476
25.07,619,557,466
25.11,621,557,466
25.14,628,564,472
25.17,626,568,459
25.20,620,557,466
25.24,620,557,466
25.27,626,563,471
25.30,628,562,455
25.33,620,558,467
25.36,620,557,466
25.40,626,562,471
25.43,628,569,467
25.46,620,557,466
25.49,620,557,466
25.53,627,563,472
25.56,626,566,477
25.59,620,557,466
25.62,621,558,466
25.66,629,565,474
25.69,624,565,478
25.72,620,557,466
25.75,621,558,466
25.78,630,566,474
25.82,625,565,478
25.85,620,557,466
25.88,621,558,466
25.91,629,565,473
25.95,625,566,479
25.98,620,557,466
26.01,621,558,466
26.04,628,564,472
26.07,626,566,475
26.11,620,557,466
26.14,620,557,466
26.17,627,563,472
26.20,627,568,456
26.23,620,557,466
26.27,620,557,465
26.30,625,562,470
26.33,626,541,477
26.36,620,558,467
26.40,620,557,465
26.43,624,561,469
26.46,609,552,480
26.49,620,558,467
26.53,620,557,465
26.56,625,562,470
26.59,629,569,448
26.62,620,557,466
26.65,621,557,466
26.69,630,566,475
26.72,623,563,473
26.75,620,557,465
26.78,622,559,467
26.82,638,576,484
26.85,621,559,468
26.88,620,557,465
26.91,625,561,470
26.94,628,559,450
26.98,620,558,466
27.01,621,558,466
27.04,628,565,473
27.07,625,564,476
27.11,620,557,465
27.14,622,559,467
27.17,636,573,480
27.20,622,560,470
27.23,620,557,465
27.27,623,560,468
27.30,627,578,485
27.33,621,559,468
27.36,620,557,465
27.40,624,561,468
27.43,629,575,485
27.46,622,559,468
27.49,621,557,465
27.53,624,561,469
27.56,622,543,484
27.59,621,559,467
27.62,621,558,466
27.65,626,563,471
27.69,629,568,456
27.72,621,558,466
27.75,621,558,466
27.78,629,566,474
27.81,625,564,475
27.85,620,557,465
27.88,622,559,467
27.91,635,570,478
27.94,623,562,472
27.98,621,558,465
28.01,623,560,467
28.04,637,573,480
28.07,623,561,471
28.11,621,558,465
28.14,623,560,468
28.17,633,576,483
28.20,622,560,469
28.23,621,558,465
28.27,624,561,468
28.30,623,578,486
28.33,622,559,467
28.36,622,559,466
28.40,630,567,475
28.43,624,562,472
28.46,621,558,465
28.49,624,561,469
28.52,629,557,468
28.56,622,559,467
28.59,622,559,466
28.62,631,567,475
28.65,625,564,473
28.69,621,558,465
28.72,624,560,468
28.75,639,576,483
28.78,623,561,469
28.81,621,558,465
28.85,625,561,469
28.88,610,567,483
28.91,622,559,468
28.94,621,558,465
28.98,625,562,469
29.01,621,539,486
29.04,622,560,468
29.07,621,558,465
29.11,625,561,469
29.14,609,578,485
29.17,623,561,470
29.20,621,558,465
29.23,625,561,468
29.27,623,579,486
29.30,622,560,467
29.33,622,559,466
29.36,628,564,472
29.39,628,567,479
29.43,621,559,466
29.46,623,560,467
29.49,637,573,480
29.52,624,562,471
29.56,622,559,466
29.59,624,561,468
29.62,635,577,483
29.65,623,561,470
29.68,622,558,466
29.72,624,561,468
29.75,638,578,484
29.78,623,561,469
29.81,622,558,465
29.85,625,561,469
29.88,631,577,485
29.91,623,560,469
29.94,622,559,465
29.98,625,561,468
30.01,638,576,483
30.04,624,561,470
30.07,622,558,465
30.10,624,561,468
30.14,637,576,482
30.17,623,561,469
30.20,622,558,466
30.23,626,563,470
30.27,630,569,479
30.30,622,559,465
30.33,624,561,468
30.36,639,578,485
30.39,623,560,467
30.43,623,559,466
30.46,630,566,473
30.49,627,565,476
30.52,622,559,466
30.56,624,561,467
30.59,637,574,480
30.62,624,562,471
30.65,622,559,465
30.68,624,561,468
30.72,639,574,480
30.75,625,563,472
30.78,622,559,466
30.81,624,560,466
30.85,633,568,474
30.88,627,567,479
30.91,621,558,467
30.94,622,559,465
30.98,626,562,469
31.01,621,576,483
31.04,624,562,471
31.07,621,558,464
31.10,623,559,467
31.14,635,570,476
31.17,625,564,474
31.20,622,559,465
31.23,624,560,467
31.26,634,570,475
31.30,625,564,475
31.33,621,558,465
31.36,623,559,465
31.39,629,565,471
31.43,630,571,464
31.46,623,559,466
31.49,621,558,464
31.52,625,562,468
31.55,637,576,480
31.59,624,563,473
31.62,621,558,465
31.65,623,559,465
31.68,627,562,469
31.72,626,576,480
31.75,624,563,475
31.78,621,558,466
31.81,623,559,465
31.85,624,560,466
31.88,635,568,474
31.91,628,569,447
31.94,623,559,467
31.97,621,558,465
32.01,623,560,465
32.04,627,562,468
32.07,627,578,481
32.10,625,564,475
32.14,621,558,465
32.17,623,559,464
32.20,624,560,466
32.23,635,569,473
32.27,627,569,457
32.30,622,560,467
32.33,622,559,465
32.36,625,561,467
32.39,637,570,475
32.43,627,568,468
32.46,623,560,466
32.49,622,559,464
32.52,624,560,466
32.56,634,568,472
32.59,629,560,463
32.62,622,560,468
32.65,621,559,465
32.68,623,559,464
32.72,628,563,468
32.75,639,576,479
32.78,626,565,477
32.81,622,560,466
32.85,622,558,464
32.88,625,560,466
32.91,630,565,470
32.94,619,569,484
32.97,625,563,474
33.01,622,559,466
33.04,623,559,464
33.07,625,561,466
33.10,633,566,472
33.13,631,545,486
33.17,623,562,469
33.20,621,559,464
33.23,623,559,465
33.26,626,562,467
33.30,639,572,475
33.33,627,568,469
33.36,622,560,466
33.39,622,558,464
33.43,624,559,464
33.46,628,563,468
33.49,633,577,479
33.52,625,565,477
33.55,622,559,466
33.59,622,559,464
33.62,624,560,465
33.65,630,565,469
33.68,629,549,484
33.72,624,562,472
33.75,622,559,465
33.78,622,559,464
33.81,624,560,465
33.85,631,565,469
33.88,632,572,485
33.91,624,563,473
33.94,622,559,465
33.97,622,558,464
34.01,624,560,465
34.04,629,564,468
34.07,607,578,481
34.10,625,565,476
34.13,622,559,466
34.17,622,558,463
34.20,624,559,464
34.23,627,563,467
34.26,640,574,476
34.30,627,568,466
34.33,623,560,467
34.36,622,558,464
34.39,623,559,464
34.42,626,562,466
34.46,638,571,473
34.49,629,571,475
34.52,623,561,468
34.55,622,559,464
34.59,623,559,463
34.62,626,562,465
34.65,633,567,470
34.68,632,554,485
34.72,624,563,472
34.75,622,559,465
34.78,623,559,464
34.81,624,560,464
34.84,629,564,468
34.88,628,577,479
34.91,626,567,478
34.94,623,560,466
34.97,622,559,464
35.01,624,560,464
35.04,627,563,467
35.07,639,572,474
35.10,629,570,447
35.13,623,561,468
35.17,622,559,464
35.20,623,559,464
35.23,625,561,465
35.26,631,565,468
35.30,619,574,481
35.33,625,566,477
35.36,623,560,466
35.39,623,559,464
35.42,624,560,464
35.46,628,563,467
35.49,638,573,475
35.52,628,569,445
35.55,623,561,467
35.59,623,559,464
35.62,624,560,464
35.65,628,563,468
35.68,631,578,480
35.72,625,564,473
35.75,623,560,465
35.78,623,559,464
35.81,627,562,467
35.84,641,575,478
35.88,626,565,474
35.91,623,559,464
35.94,623,559,464
35.97,627,562,466
36.00,639,575,477
36.04,625,564,473
36.07,623,559,464
36.10,623,559,463
36.13,627,562,467
36.17,633,576,478
36.20,626,564,473
36.23,623,559,464
36.26,623,559,464
36.29,627,563,467
36.33,640,576,478
36.36,626,565,474
36.39,623,560,465
36.42,624,560,464
36.46,627,562,467
36.49,640,574,476
36.52,627,567,477
36.55,624,560,465
36.59,623,560,464
36.62,627,562,466
36.65,637,571,473
36.68,630,571,446
36.71,624,561,467
36.75,624,560,464
36.78,625,561,465
36.81,630,565,468
36.84,610,579,480
36.88,627,566,476
36.91,624,560,466
36.94,624,560,464
36.97,626,561,465
37.00,633,568,471
37.04,631,566,445
37.07,624,561,466
37.10,624,560,464
37.13,626,562,466
37.17,639,573,476
37.20,627,566,475
37.23,625,561,465
37.26,625,561,465
37.29,628,564,468
37.33,607,576,483
37.36,626,563,470
37.39,624,560,464
37.42,625,561,465
37.46,632,567,471
37.49,632,568,455
37.52,624,561,466
37.55,624,560,464
37.58,628,564,467
37.62,634,579,483
37.65,625,562,469
37.68,624,560,464
37.71,626,562,466
37.75,639,574,477
37.78,627,565,472
37.81,624,560,464
37.84,626,562,466
37.87,637,572,475
37.91,627,565,472
37.94,624,560,464
37.97,626,562,466
38.00,637,571,475
38.04,628,566,473
38.07,624,560,464
38.10,626,561,466
38.13,635,570,474
38.17,628,567,475
38.20,624,561,465
38.23,626,562,465
38.26,634,569,473
38.29,628,567,474
38.33,624,561,464
38.36,626,562,467
38.39,641,577,481
38.42,626,563,468
38.46,625,561,465
38.49,629,566,470
38.52,632,570,476
38.55,624,561,464
38.58,627,563,466
38.62,642,580,484
38.65,625,562,466
38.68,625,561,465
38.71,633,568,473
38.75,628,566,471
38.78,625,561,464
38.81,628,564,468
38.84,626,551,476
38.87,625,561,465
38.91,626,561,465
38.94,636,571,475
38.97,627,565,470
39.00,625,561,464
39.04,628,564,468
39.07,621,553,473
39.10,625,561,465
39.13,625,561,465
39.16,632,568,472
39.20,630,568,475
39.23,625,561,464
39.26,627,562,466
39.29,640,575,478
39.33,627,564,470
39.36,625,560,464
39.39,627,563,466
39.42,638,579,482
39.45,626,563,467
39.49,625,560,464
39.52,628,564,468
39.55,615,573,483
39.58,625,562,466
39.62,625,561,464
39.65,629,564,468
39.68,618,548,477
39.71,626,562,466
39.74,625,561,464
39.78,628,564,467
39.81,625,545,484
39.84,626,562,466
39.87,625,561,464
39.91,630,565,468
39.94,634,562,452
39.97,625,561,464
40.00,626,561,464
40.04,635,571,475
40.07,627,563,467
40.10,625,560,464
40.13,630,566,470
40.16,629,565,469
40.20,625,560,463
40.23,630,566,471
40.26,628,564,468
40.29,625,561,464
40.33,635,571,477
40.36,626,562,465
40.39,626,562,466
40.42,614,550,470
40.45,625,560,464
40.49,629,566,471
40.52,627,563,466
40.55,626,562,465
40.58,623,547,447
40.61,625,561,464
40.65,629,566,471
40.68,627,562,466
40.71,626,562,465
40.74,615,557,476
40.78,625,561,464
40.81,632,570,477
40.84,626,561,464
40.87,627,564,468
40.90,629,565,467
40.94,626,561,465
40.97,611,551,446
41.00,625,561,464
41.03,631,568,475
41.07,626,562,464
41.10,627,563,467
41.13,631,567,469
41.16,625,561,464
41.20,642,571,474
41.23,625,561,464
41.26,630,567,473
41.29,627,562,465
41.32,627,563,466
41.36,634,570,472
41.39,625,561,464
41.42,637,576,482
41.45,625,561,464
41.49,629,565,471
41.52,628,563,466
41.55,626,562,465
41.58,615,543,447
41.61,625,561,464
41.65,630,566,470
41.68,628,564,467
41.71,626,561,464
41.74,637,574,480
41.78,626,562,465
41.81,626,562,465
41.84,642,578,485
41.87,626,561,464
41.90,627,562,465
41.94,638,581,485
41.97,626,561,464
42.00,626,562,465
42.03,643,580,484
42.06,626,561,464
42.10,627,562,465
42.13,641,578,481
42.16,626,562,465
42.19,626,561,464
42.23,636,572,475
42.26,627,563,467
42.29,625,561,463
42.32,630,566,469
42.36,631,569,475
42.39,625,561,463
42.42,627,563,465
42.45,643,579,482
42.49,626,562,465
42.52,625,561,463
42.55,631,566,469
42.58,632,570,477
42.61,625,561,463
42.65,627,562,465
42.68,640,576,478
42.71,628,563,466
42.74,625,561,463
42.78,630,565,468
42.81,634,566,445
42.84,625,561,464
42.87,627,562,464
42.90,637,572,474
42.94,628,565,468
42.97,625,561,463
43.00,629,564,466
43.03,611,556,473
43.06,626,562,464
43.10,626,561,463
43.13,633,569,471
43.16,629,566,471
43.19,625,561,463
43.23,628,563,465
43.26,609,580,484
43.29,626,562,465
43.32,627,562,464
43.36,634,569,471
43.39,630,567,471
43.42,626,561,463
43.45,629,564,466
43.49,617,546,451
43.52,626,561,464
43.55,626,561,464
43.58,639,575,479
43.61,627,562,465
43.65,626,561,464
43.68,637,573,476
43.71,627,562,465
43.74,626,561,463
43.77,637,573,478
43.81,626,562,464
43.84,627,562,464
43.87,642,579,482
43.90,626,562,464
43.94,627,562,465
43.97,642,579,484
44.00,626,562,464
44.03,627,562,464
44.06,641,577,480
44.10,627,563,465
44.13,626,561,463
44.16,633,568,470
44.19,631,568,474
44.23,625,561,463
44.26,627,563,464
44.29,637,572,473
44.32,629,567,472
44.36,626,561,463
44.39,627,562,464
44.42,635,569,470
44.45,633,572,454
44.48,626,562,464
44.52,626,561,463
44.55,629,564,466
44.58,638,578,478
44.61,628,566,471
