Time,A0,A1,A2
4.59,367,609,441
4.62,347,611,441
4.65,363,607,437
4.68,348,619,448
4.72,350,607,437
4.75,351,616,419
4.78,345,608,437
4.81,357,611,443
4.84,344,610,440
4.87,338,608,438
4.90,346,614,443
4.93,354,607,437
4.97,346,625,455
5.00,347,607,437
5.03,355,615,445
5.06,349,609,438
5.09,373,609,441
5.12,353,611,441
5.15,362,607,438
5.18,354,619,448
5.22,357,607,437
5.25,357,612,454
5.28,353,608,437
5.31,364,612,445
5.34,352,610,439
5.37,370,609,439
5.40,346,615,443
5.43,355,610,437
5.46,348,626,454
5.50,350,609,437
5.53,354,618,434
5.56,347,611,438
5.59,365,612,441
5.62,344,613,440
5.65,334,610,438
5.68,344,621,447
5.71,356,610,437
5.75,358,614,444
5.78,346,611,438
5.81,362,612,441
5.84,345,614,441
5.87,363,611,437
5.90,350,627,453
5.93,350,611,437
5.96,358,617,448
5.99,348,614,439
6.03,365,613,438
6.06,349,621,446
6.09,352,610,437
6.12,353,620,420
6.15,347,611,438
6.18,368,612,439
6.21,345,616,444
6.24,352,610,436
6.28,349,609,425
6.31,348,610,438
6.34,371,611,440
6.37,348,614,443
6.40,358,609,437
6.43,353,591,448
6.46,347,610,438
6.49,374,611,440
6.52,353,616,444
6.56,358,609,437
6.59,358,619,432
6.62,352,612,439
6.65,372,612,438
6.68,355,624,449
6.71,352,610,437
6.74,355,614,446
6.77,349,611,440
6.80,357,609,437
6.84,347,626,453
6.87,347,610,437
6.90,354,613,444
6.93,344,612,440
6.96,359,609,437
6.99,348,627,455
7.02,347,609,437
7.05,358,613,443
7.09,341,613,441
7.12,358,609,437
7.15,348,602,458
7.18,347,610,437
7.21,364,612,441
7.24,347,614,442
7.27,357,610,437
7.30,353,597,446
7.34,349,612,438
7.37,367,613,440
7.40,348,616,443
7.43,356,610,437
7.46,352,599,442
7.49,348,612,438
7.52,368,612,440
7.55,348,617,444
7.59,354,611,437
7.62,352,614,434
7.65,347,612,438
7.68,371,613,439
7.71,348,618,445
7.74,354,607,437
7.77,353,618,417
7.80,348,608,438
7.84,370,608,439
7.87,348,614,445
7.90,354,607,437
7.93,353,617,429
7.96,348,608,438
7.99,370,608,439
8.02,348,613,444
8.05,355,607,436
8.09,352,594,446
8.12,348,608,438
8.15,366,609,440
8.18,347,611,442
8.21,357,607,437
8.24,351,623,458
8.27,349,607,437
8.30,360,610,444
8.33,347,610,440
8.37,331,607,437
8.40,348,620,450
8.43,346,606,436
8.46,350,614,444
8.49,342,608,438
8.52,364,608,439
8.55,342,612,442
8.58,353,607,436
8.61,346,614,456
8.65,343,607,437
8.68,356,612,447
8.71,345,608,439
8.74,368,607,438
8.77,341,612,442
8.80,349,606,436
8.83,348,620,455
8.86,347,607,437
8.90,353,613,447
8.93,345,608,438
8.96,368,608,440
8.99,345,611,441
9.02,357,606,436
9.05,341,622,451
9.08,354,607,437
9.11,357,616,418
9.15,348,608,438
9.18,368,609,441
9.21,348,610,440
9.24,326,607,437
9.27,349,617,446
9.30,352,606,436
9.33,348,592,458
9.36,342,607,437
9.40,354,611,445
9.43,351,609,439
9.46,376,608,439
9.49,352,612,442
9.52,359,607,437
9.55,350,623,451
9.58,350,607,436
9.61,352,614,420
9.65,345,607,437
9.68,358,610,444
9.71,343,609,439
9.74,359,608,438
9.77,341,611,441
9.80,352,607,437
9.83,343,617,447
9.86,350,606,436
9.89,346,605,455
9.93,353,607,436
9.96,351,615,432
9.99,346,608,437
10.02,355,611,441
10.05,334,624,452
10.08,349,613,449
10.12,352,607,438
10.15,352,607,436
10.18,345,607,437
10.21,359,610,439
10.25,365,618,447
10.28,352,616,416
10.31,346,609,441
10.34,342,607,437
10.37,347,607,436
10.41,351,608,439
10.44,370,613,443
10.47,357,591,454
10.50,341,610,444
10.53,343,607,437
10.57,347,607,437
10.60,350,608,438
10.63,359,612,442
10.66,347,619,455
10.70,356,611,446
10.73,348,607,438
10.76,343,607,437
10.79,350,608,437
10.82,353,611,441
10.86,348,626,454
10.89,350,612,447
10.92,343,608,437
10.95,342,607,436
10.99,336,609,437
11.02,360,611,441
11.05,332,627,454
11.08,356,612,448
11.11,352,608,438
11.15,353,607,437
11.18,357,608,437
11.21,365,611,441
11.24,349,625,452
11.28,358,613,449
11.31,354,608,439
11.34,355,607,437
11.37,358,608,438
11.41,367,612,441
11.44,354,622,455
11.47,358,612,446
11.50,355,608,438
11.53,355,607,436
11.57,359,609,439
11.60,373,614,444
11.63,366,599,456
11.66,356,610,440
11.70,355,608,437
11.73,357,608,437
11.76,364,611,440
11.79,356,625,452
11.82,359,613,447
11.86,355,609,438
11.89,355,608,437
11.92,360,610,439
11.95,376,616,445
11.98,364,618,425
12.02,356,610,439
12.05,355,608,437
12.08,358,609,438
12.11,369,614,442
12.15,371,596,458
12.18,357,612,441
12.21,355,611,437
12.24,357,612,437
12.28,366,615,441
12.31,366,629,457
12.34,357,614,442
12.37,355,611,437
12.40,357,612,437
12.44,366,615,441
12.47,344,631,456
12.50,358,615,443
12.53,355,612,437
12.57,357,610,437
12.60,365,613,440
12.63,360,629,453
12.66,359,615,445
12.69,356,611,437
12.73,357,609,437
12.76,363,611,439
12.79,378,621,449
12.82,361,614,449
12.86,356,608,438
12.89,356,608,437
12.92,361,609,439
12.95,377,616,445
12.98,364,617,417
13.02,357,609,439
13.05,356,607,437
13.08,360,608,438
13.11,372,613,443
13.15,369,595,450
13.18,357,609,440
13.21,356,607,436
13.24,359,608,437
13.28,368,611,441
13.31,345,623,456
13.34,359,611,443
13.37,356,607,437
13.40,358,608,437
13.44,365,610,440
13.47,350,625,453
13.50,360,611,445
13.53,356,608,437
13.56,358,608,437
13.60,365,610,440
13.63,334,625,454
13.66,360,611,444
13.69,356,607,437
13.73,358,607,437
13.76,365,610,440
13.79,347,626,455
13.82,359,611,443
13.85,356,607,437
13.89,359,608,437
13.92,368,612,442
13.95,369,589,452
13.98,358,609,440
14.02,357,607,436
14.05,360,608,437
14.08,371,613,443
14.11,368,613,449
14.15,358,609,440
14.18,357,607,436
14.21,360,608,438
14.24,373,613,443
14.27,368,606,450
14.31,357,609,439
14.34,357,607,436
14.37,360,609,437
14.40,372,614,443
14.44,368,608,426
14.47,357,609,439
14.50,357,608,436
14.53,361,610,438
14.56,375,617,444
14.60,366,621,428
14.63,357,612,438
14.66,357,610,436
14.69,361,611,438
14.73,377,618,445
14.76,364,619,433
14.79,357,610,438
14.82,357,610,436
14.85,362,612,438
14.89,378,619,445
14.92,364,619,424
14.95,357,611,439
14.98,357,611,436
15.02,361,612,438
15.05,373,617,443
15.08,370,596,452
15.11,358,613,441
15.15,357,610,436
15.18,359,611,437
15.21,366,614,440
15.24,368,628,452
15.27,360,617,447
15.31,356,611,437
15.34,357,612,436
15.37,361,613,438
15.40,377,617,444
15.44,368,616,448
15.47,358,609,440
15.50,357,607,436
15.53,359,607,437
15.56,365,610,440
15.60,362,621,450
15.63,362,614,448
15.66,357,608,438
15.69,357,607,436
15.73,360,608,437
15.76,370,611,442
15.79,359,626,456
15.82,359,610,444
15.85,356,607,437
15.89,357,607,436
15.92,362,609,438
15.95,378,615,445
15.98,366,617,422
16.02,357,608,440
16.05,356,607,436
16.08,359,608,437
16.11,366,610,440
16.14,363,623,450
16.18,362,614,449
16.21,357,608,438
16.24,357,607,436
16.27,360,609,437
16.31,368,615,440
16.34,336,628,451
16.37,361,618,447
16.40,357,612,439
16.43,357,610,436
16.47,359,611,437
16.50,365,613,439
16.53,381,621,446
16.56,365,620,418
16.60,358,612,441
16.63,357,610,436
16.66,358,611,436
16.69,363,612,438
16.73,378,618,444
16.76,369,601,451
16.79,359,613,443
16.82,356,611,437
16.85,358,610,436
16.89,362,612,438
16.92,371,615,442
16.95,350,627,454
16.98,361,616,450
17.01,357,611,439
17.05,357,610,437
17.08,360,611,437
17.11,366,613,440
17.14,379,620,447
17.18,366,616,452
17.21,359,612,442
17.24,357,610,437
17.27,359,610,437
17.30,363,612,438
17.34,373,616,442
17.37,353,631,455
17.40,361,615,449
17.43,358,610,439
17.47,358,610,437
17.50,360,610,437
17.53,366,612,440
17.56,383,620,447
17.60,368,616,436
17.63,359,612,443
17.66,358,610,438
17.69,359,610,437
17.72,363,612,439
17.76,375,616,443
17.79,375,597,458
17.82,360,614,445
17.85,358,611,438
17.89,358,610,437
17.92,362,612,438
17.95,372,615,442
17.98,365,630,455
18.01,361,616,449
18.05,357,612,439
18.08,357,610,437
18.11,360,611,438
18.14,365,613,440
18.18,381,619,445
18.21,370,599,458
18.24,360,615,446
18.27,357,611,439
18.30,357,610,437
18.34,360,611,437
18.37,364,613,439
18.40,378,617,444
18.43,367,621,456
18.47,361,612,450
18.50,358,608,440
18.53,357,607,437
18.56,359,607,437
18.59,363,608,439
18.63,374,612,442
18.66,356,623,454
18.69,362,614,447
18.72,358,608,440
18.76,357,606,437
18.79,359,607,437
18.82,364,609,439
18.85,376,613,443
18.88,374,625,456
18.92,355,612,449
18.95,343,607,439
18.98,342,607,436
19.01,348,607,436
19.05,361,609,438
19.08,364,612,442
19.11,321,625,451
19.14,346,616,432
19.17,346,609,442
19.21,348,607,437
19.24,350,607,436
19.27,350,607,437
19.30,358,609,439
19.34,367,613,442
19.37,328,626,452
19.40,335,616,439
19.43,356,609,441
19.47,351,607,437
19.50,349,607,436
19.53,354,608,436
19.56,361,610,439
19.59,364,615,443
19.63,367,621,454
19.66,351,617,441
19.69,344,612,440
19.72,354,610,437
19.76,347,609,436
19.79,360,610,437
19.82,363,613,439
19.85,367,617,443
19.88,364,629,453
19.92,350,616,434
19.95,346,611,441
19.98,350,609,437
20.01,355,609,436
20.04,352,610,436
20.08,355,611,438
20.11,361,613,441
20.14,361,622,447
20.17,355,594,457
20.21,352,614,448
20.24,343,610,440
20.27,335,609,437
20.30,348,609,436
20.34,346,610,436
20.37,345,611,438
20.40,368,614,440
20.43,364,622,447
20.46,365,608,453
20.50,347,614,448
20.53,347,611,439
20.56,346,609,437
20.59,348,610,436
20.63,348,610,436
20.66,351,612,438
20.69,368,616,442
20.72,326,627,450
20.75,357,621,454
20.79,355,614,446
20.82,343,610,439
20.85,347,609,437
20.88,351,609,436
20.92,353,609,437
20.95,357,611,438
20.98,358,613,441
21.01,342,622,447
21.04,356,601,460
21.08,345,613,448
21.11,353,610,440
21.14,346,609,437
21.17,355,609,436
21.21,357,610,437
21.24,359,612,440
21.27,366,617,445
21.30,363,616,458
21.34,356,614,449
21.37,348,610,440
21.40,340,609,437
21.43,354,609,436
21.46,348,610,437
21.50,348,613,440
21.53,368,621,446
21.56,349,618,435
21.59,352,612,444
21.62,345,609,438
21.66,356,609,436
21.69,348,610,437
21.72,352,612,439
21.75,365,617,444
21.79,361,595,459
21.82,348,613,447
21.85,346,610,439
21.88,340,609,436
21.92,350,609,436
21.95,354,611,438
21.98,374,614,442
22.01,365,628,453
22.04,361,616,436
22.08,356,610,440
22.11,355,609,437
22.14,346,609,436
22.17,345,610,437
22.21,357,613,440
22.24,365,622,447
22.27,346,617,430
22.30,341,611,442
22.33,348,609,437
22.37,339,609,436
22.40,348,610,437
22.43,361,614,442
22.46,328,628,454
22.50,350,615,449
22.53,349,610,438
22.56,348,609,436
22.59,351,610,437
22.62,358,613,440
22.66,332,626,450
22.69,348,616,444
22.72,345,610,438
22.75,352,609,436
22.79,355,609,437
22.82,356,611,439
22.85,374,616,443
22.88,362,601,459
22.92,356,613,445
22.95,340,610,438
22.98,349,609,436
23.01,355,610,436
23.04,356,612,439
23.08,369,619,445
23.11,352,607,448
23.14,347,612,442
23.17,344,609,437
23.20,347,609,436
23.24,350,610,437
23.27,360,614,441
23.30,326,627,453
23.33,352,615,449
23.37,347,610,438
23.40,346,609,436
23.43,350,610,436
23.46,355,612,439
23.50,369,619,445
23.53,358,617,454
23.56,357,612,442
23.59,346,610,437
23.62,354,609,436
23.66,350,610,436
23.69,364,612,439
23.72,350,622,446
23.75,339,617,447
23.79,342,612,442
23.82,346,610,437
23.85,348,609,436
23.88,351,610,436
23.92,360,612,439
23.95,368,618,444
23.98,356,591,456
24.01,343,613,445
24.04,353,610,438
24.08,354,609,436
24.11,356,609,436
24.14,360,611,438
24.17,362,614,441
24.20,334,627,451
24.24,357,617,443
24.27,346,611,440
24.30,349,609,436
24.33,349,609,435
24.37,352,610,436
24.40,359,613,440
24.43,354,623,448
24.46,354,619,425
24.50,349,611,441
24.53,348,609,436
24.56,349,609,436
24.59,350,610,436
24.62,355,612,439
24.66,355,621,446
24.69,348,614,453
24.72,352,612,442
24.75,348,609,437
24.78,343,609,436
24.82,341,609,436
24.85,350,612,438
24.88,365,617,443
24.91,367,611,456
24.95,336,613,446
24.98,352,610,438
25.01,342,609,435
25.04,338,609,435
25.07,351,611,438
25.11,366,615,442
25.14,359,619,454
25.17,352,614,448
25.20,346,610,438
25.24,339,609,435
25.27,356,609,435
25.30,349,611,437
25.33,354,615,441
25.36,358,623,453
25.40,350,615,449
25.43,348,610,438
25.46,342,609,436
25.49,347,609,436
25.53,359,611,438
25.56,369,615,441
25.59,367,628,454
25.62,350,615,449
25.66,347,610,438
25.69,344,609,436
25.72,353,609,436
25.75,353,611,438
25.78,357,615,441
25.82,346,628,452
25.85,352,617,439
25.88,352,610,441
25.91,340,609,437
25.95,355,609,436
25.98,357,609,436
26.01,361,611,438
26.04,369,614,441
26.07,375,622,446
26.11,364,600,455
26.14,342,615,448
26.17,353,611,439
26.20,345,609,437
26.23,349,609,436
26.27,347,610,436
26.30,341,611,438
26.33,366,615,442
26.36,333,626,450
26.40,354,619,438
26.43,343,612,442
26.46,342,610,438
26.49,342,609,436
26.53,348,610,436
26.56,358,611,438
26.59,365,616,443
26.62,361,625,456
26.65,348,614,449
26.69,344,610,438
26.72,345,609,436
26.75,348,609,436
26.78,353,611,438
26.82,367,615,442
26.85,338,628,453
26.88,356,616,451
26.91,353,611,439
26.94,351,609,436
26.98,352,610,436
27.01,357,611,438
27.04,372,616,443
27.07,367,607,456
27.11,354,613,446
27.14,352,609,438
27.17,351,609,436
27.20,353,609,437
27.23,360,612,439
27.27,376,619,446
27.30,361,618,453
27.33,353,612,442
27.36,351,609,437
27.40,352,609,436
27.43,356,610,437
27.46,364,613,441
27.49,329,625,450
27.53,357,617,432
27.56,352,610,439
27.59,352,609,437
27.62,353,609,436
27.65,357,611,438
27.69,369,615,442
27.72,354,629,454
27.75,355,615,450
27.78,349,610,438
27.81,348,608,435
27.85,352,608,435
27.88,356,610,437
27.91,367,613,440
27.94,329,626,450
27.98,356,616,440
28.01,349,610,439
28.04,349,608,436
28.07,352,608,435
28.11,354,609,436
28.14,360,611,438
28.17,374,618,444
28.20,362,604,457
28.23,353,612,445
28.27,351,609,437
28.30,351,608,435
28.33,352,608,435
28.36,355,610,437
28.40,365,613,440
28.43,334,625,449
28.46,355,618,428
28.49,349,611,440
28.52,346,609,436
28.56,347,608,435
28.59,349,609,435
28.62,354,611,437
28.65,367,614,441
28.69,340,628,451
28.72,352,617,434
28.75,348,610,440
28.78,347,609,436
28.81,347,608,435
28.85,349,609,435
28.88,354,611,437
28.91,366,614,441
28.94,326,627,450
28.98,352,617,430
29.01,348,611,441
29.04,348,609,437
29.07,346,608,435
29.11,348,609,435
29.14,353,610,437
29.17,362,613,440
29.20,326,625,448
29.23,352,619,436
29.27,343,611,441
29.30,344,609,436
29.33,344,608,435
29.36,347,609,435
29.39,352,610,437
29.43,359,614,440
29.46,328,625,449
29.49,348,618,433
29.52,347,611,441
29.56,346,609,437
29.59,344,609,435
29.62,347,609,435
29.65,349,611,437
29.68,361,614,440
29.72,333,624,448
29.75,352,616,437
29.78,348,612,443
29.81,345,609,437
29.85,343,609,435
29.88,342,609,435
29.91,353,610,436
29.94,357,611,438
29.98,368,616,442
30.01,336,627,450
30.04,349,619,416
30.07,343,611,443
30.10,342,609,437
30.14,342,608,435
30.17,343,608,435
30.20,347,609,435
30.23,351,610,438
30.27,370,614,440
30.30,333,624,447
30.33,355,617,457
30.36,348,613,447
30.39,345,610,439
30.43,347,610,436
30.46,341,609,436
30.49,347,610,435
30.52,349,611,437
30.56,358,612,439
30.59,365,617,444
30.62,359,623,454
30.65,348,615,418
30.68,346,609,442
30.72,345,607,437
30.75,345,607,436
30.78,346,607,436
30.81,349,607,436
30.85,354,609,438
30.88,362,612,440
30.91,368,619,445
30.94,359,609,456
30.98,350,615,446
31.01,347,610,441
31.04,346,608,438
31.07,346,608,436
31.10,346,608,436
31.14,348,609,436
31.17,351,610,437
31.20,360,612,440
31.23,366,618,444
31.26,358,619,454
31.30,347,617,428
31.33,347,611,444
31.36,344,610,438
31.39,342,609,436
31.43,340,609,436
31.46,340,609,436
31.49,348,611,436
31.52,354,612,439
31.55,366,617,442
31.59,362,626,451
31.62,357,620,447
31.65,346,613,445
31.68,337,610,438
31.72,342,609,436
31.75,346,609,436
31.78,348,610,436
31.81,347,611,437
31.85,356,612,439
31.88,364,617,443
31.91,361,628,450
31.94,355,618,455
31.97,349,613,446
32.01,343,610,439
32.04,347,609,437
32.07,350,609,436
32.10,346,609,436
32.14,348,610,436
32.17,351,612,438
32.20,359,614,440
32.23,360,622,447
32.27,358,594,457
32.30,350,616,449
32.33,346,611,441
32.36,340,610,437
32.39,343,609,436
32.43,342,609,436
32.46,346,610,436
32.49,349,612,438
32.52,357,615,441
32.56,306,627,449
32.59,341,620,430
32.62,344,613,445
32.65,342,610,438
32.68,341,609,436
32.72,345,609,436
32.75,345,609,436
32.78,350,611,437
32.81,362,613,440
32.85,367,621,446
32.88,362,603,458
32.91,354,615,449
32.94,352,611,440
32.97,343,609,437
33.01,352,609,435
33.04,353,609,436
33.07,357,611,437
33.10,366,613,440
33.13,364,620,445
33.17,362,592,458
33.20,354,615,449
33.23,347,611,439
33.26,346,609,436
33.30,346,608,435
33.33,343,609,436
33.36,351,610,437
33.39,365,613,440
33.43,369,619,445
33.46,356,609,456
33.49,349,615,450
33.52,345,610,440
33.55,340,609,436
33.59,344,608,435
33.62,344,609,435
33.65,355,610,437
33.68,360,613,439
33.72,370,620,444
33.75,362,592,455
33.78,354,614,449
33.81,339,610,439
33.85,352,609,436
33.88,341,609,435
33.91,354,609,435
33.94,353,611,437
33.97,365,613,440
34.01,348,623,446
34.04,360,616,456
34.07,342,613,446
34.10,343,609,438
34.13,339,609,436
34.17,345,609,435
34.20,345,609,435
34.23,349,610,437
34.26,357,613,439
34.30,355,620,444
34.33,358,602,456
34.36,348,615,443
34.39,343,610,440
34.42,351,609,436
34.46,352,609,435
34.49,348,609,435
34.52,346,610,437
34.55,356,613,439
34.59,364,619,445
34.62,358,598,456
34.65,356,614,448
34.68,341,610,439
34.72,346,609,436
34.75,337,608,435
34.78,338,609,435
34.81,339,609,436
34.84,346,611,438
34.88,357,617,442
34.91,355,621,452
34.94,346,616,426
34.97,348,611,442
35.01,340,609,437
35.04,338,608,435
35.07,341,608,434
35.10,337,608,435
35.13,357,609,436
35.17,362,611,438
35.20,364,615,441
35.23,338,625,448
35.26,345,618,454
35.30,339,612,447
35.33,336,610,438
35.36,351,608,436
35.39,339,608,435
35.42,341,608,435
35.46,354,609,435
35.49,350,610,436
35.52,358,612,439
35.55,357,616,443
35.59,355,619,453
35.62,348,615,419
35.65,344,609,442
35.68,350,607,437
35.72,343,607,435
35.75,343,607,435
35.78,345,607,435
35.81,351,608,435
35.84,352,609,437
35.88,363,614,441
35.91,320,623,447
35.94,358,608,451
35.97,348,612,445
36.00,350,609,438
36.04,344,608,435
36.07,352,607,435
36.10,345,608,435
36.13,356,606,436
36.17,362,608,439
36.20,372,614,443
36.23,357,613,454
36.26,346,612,440
36.29,344,607,441
36.33,340,605,437
36.36,348,605,435
36.39,342,604,435
36.42,340,605,436
36.46,357,607,437
36.49,353,609,439
36.52,375,616,444
36.55,365,589,454
36.59,355,613,432
36.62,345,608,440
36.65,342,607,436
36.68,340,607,435
36.71,341,607,435
36.75,351,609,436
36.78,357,611,439
36.81,364,619,445
36.84,350,593,458
36.88,344,610,446
36.91,352,607,438
36.94,343,606,435
36.97,342,605,435
37.00,349,606,435
37.04,353,609,437
37.07,362,613,441
37.10,334,625,450
37.13,345,616,417
37.17,347,609,442
37.20,341,607,436
37.23,344,606,435
37.26,341,607,434
37.29,346,608,435
37.33,351,610,438
37.36,363,616,443
37.39,363,593,453
37.42,342,611,443
37.46,341,608,436
37.49,344,608,434
37.52,346,608,434
37.55,349,610,436
37.58,369,613,440
37.62,338,623,450
37.65,348,615,421
37.68,343,609,439
37.71,350,607,435
37.75,346,606,434
37.78,345,607,435
37.81,345,609,436
37.84,364,614,442
37.87,359,626,452
37.91,348,614,433
37.94,353,608,439
37.97,342,607,436
38.00,347,607,434
38.04,346,608,434
38.07,351,608,436
38.10,359,610,439
38.13,338,620,447
38.17,355,612,441
38.20,348,608,443
38.23,346,605,437
38.26,344,605,435
38.29,345,606,435
38.33,348,607,436
38.36,357,610,439
38.39,364,619,445
38.42,352,608,449
38.46,347,610,445
38.49,348,607,438
38.52,345,607,435
38.55,347,607,434
38.58,345,609,435
38.62,352,611,437
38.65,366,617,442
38.68,359,605,454
38.71,344,614,442
38.75,343,608,439
38.78,345,607,436
38.81,345,607,435
38.84,353,607,435
38.87,351,608,437
38.91,360,612,440
38.94,336,624,449
38.97,353,616,434
39.00,347,609,441
39.04,343,607,437
39.07,347,607,435
39.10,341,607,435
39.13,348,608,435
39.16,356,611,438
39.20,367,618,445
39.23,358,594,455
39.26,347,611,446
39.29,350,608,437
39.33,347,607,435
39.36,352,606,435
39.39,357,607,436
39.42,362,609,438
39.45,365,615,443
39.49,364,594,454
39.52,346,612,447
39.55,350,608,437
39.58,345,606,434
39.62,343,606,434
39.65,346,607,435
39.68,351,609,438
39.71,355,617,443
39.74,344,608,456
39.78,354,609,443
39.81,336,607,436
39.84,344,605,434
39.87,351,606,434
39.91,346,607,435
39.94,358,610,438
39.97,333,620,446
40.00,356,614,448
40.04,348,609,441
40.07,346,606,435
40.10,343,606,434
40.13,345,606,434
40.16,349,607,435
40.20,358,610,438
40.23,362,618,444
40.26,353,591,454
40.29,344,610,446
40.33,342,607,437
40.36,340,607,435
40.39,346,606,435
40.42,352,607,435
40.45,348,608,436
40.49,367,611,440
40.52,355,622,447
40.55,354,616,438
40.58,347,610,443
40.61,343,607,437
40.65,346,606,435
40.68,346,607,435
40.71,349,607,436
40.74,355,610,438
40.78,367,617,444
40.81,357,598,457
40.84,349,612,447
40.87,339,607,438
40.90,340,607,435
40.94,353,607,435
40.97,358,608,436
41.00,366,611,440
41.03,338,622,448
41.07,360,616,416
41.10,355,608,439
41.13,353,606,435
41.16,354,606,435
41.20,358,608,436
41.23,371,612,441
41.26,365,624,456
41.29,357,611,444
41.32,354,607,436
41.36,354,607,435
41.39,358,608,436
41.42,367,611,440
41.45,354,624,450
41.49,359,614,450
41.52,355,608,438
41.55,354,606,435
41.58,355,607,435
41.61,360,608,437
41.65,374,613,442
41.68,371,595,456
41.71,357,611,445
41.74,355,607,437
41.78,355,607,435
41.81,357,607,435
41.84,363,609,438
41.87,374,617,444
41.90,363,614,445
41.94,356,609,439
41.97,355,607,436
42.00,356,607,435
42.03,360,609,436
42.06,370,612,439
42.10,340,626,451
42.13,359,614,449
42.16,355,608,437
42.19,355,607,435
42.23,357,608,435
42.26,363,610,438
42.29,380,616,444
42.32,366,609,442
42.36,357,610,441
42.39,355,608,436
42.42,356,607,435
42.45,360,609,436
42.49,369,612,440
42.52,337,625,451
42.55,360,615,445
42.58,356,609,438
42.61,356,608,435
42.65,358,608,435
42.68,365,611,438
42.71,364,622,448
42.74,361,616,436
42.78,356,609,437
42.81,356,608,435
42.84,359,609,436
42.87,367,612,439
42.90,346,626,451
42.94,359,613,445
42.97,355,609,436
43.00,356,608,434
43.03,359,609,435
43.06,369,612,439
43.10,334,627,452
43.13,360,614,447
43.16,356,609,437
43.19,356,608,435
43.23,359,609,435
43.26,367,612,438
43.29,358,625,449
43.32,361,615,448
43.36,356,609,436
43.39,356,608,435
43.42,360,609,436
43.45,373,614,441
43.49,369,595,457
43.52,357,611,439
43.55,356,608,435
43.58,358,608,435
43.61,365,611,438
43.65,369,624,449
43.68,360,615,447
43.71,356,609,436
43.74,357,608,435
43.77,360,609,435
43.81,371,613,440
43.84,356,622,454
43.87,359,612,443
43.90,356,609,436
43.94,357,608,434
43.97,361,610,436
44.00,373,614,440
44.03,373,591,456
44.06,359,612,443
44.10,356,609,436
44.13,357,608,434
44.16,361,610,436
44.19,372,613,440
44.23,372,627,454
44.26,360,613,444
44.29,357,609,435
44.32,356,608,434
44.36,359,609,435
44.39,368,612,439
44.42,341,626,450
44.45,360,614,448
44.48,356,609,437
44.52,356,608,434
44.55,358,609,435
44.58,363,610,437
44.61,377,615,441
